chrom	sv_pos	sv_class	sv_size	sv_ac	max_r2_within	best_within	best_dist_within	sv_ac_cross	max_r2_cross	best_cross	best_dist_cross
Chr1	298321	small_sv	60	12	0.167266	297814	-507	12	0.167266	297814	-507
Chr1	522877	medium_sv	531	15	0.194618	520501	-2376	15	0.194618	520501	-2376
Chr1	2340152	small_sv	260	13	0.184409	2320678	-19474	13	0.184409	2320678	-19474
Chr1	2548496	small_sv	82	18	0.185164	2553161	4665	18	0.185164	2553161	4665
Chr1	2855932	small_sv	52	16	0.180281	2824494	-31438	16	0.180281	2824494	-31438
Chr1	3131476	medium_sv	729	22	0.128947	3139665	8189	22	0.128947	3139665	8189
Chr1	4091017	small_sv	109	19	0.182259	4069752	-21265	19	0.182259	4069752	-21265
Chr1	4556816	small_sv	62	29	0.104604	4579431	22615	29	0.104604	4579431	22615
Chr1	5453156	medium_sv	1288	12	0.134	5481126	27970	12	0.134	5481137	27981
Chr1	5657924	medium_sv	1355	13	0.099118	5692034	34110	13	0.099118	5692034	34110
Chr1	5657924	medium_sv	1355	13	0.099118	5692034	34110	17	0.124265	5643738	-14186
Chr1	5657924	medium_sv	1355	17	0.124265	5643738	-14186	13	0.099118	5692034	34110
Chr1	5657924	medium_sv	1355	17	0.124265	5643738	-14186	17	0.124265	5643738	-14186
Chr1	5864202	small_sv	58	12	0.185815	5822213	-41989	12	0.185815	5822213	-41989
Chr1	5866027	small_sv	74	27	0.186247	5862720	-3307	27	0.186247	5862720	-3307
Chr1	6718650	large_sv	5944	14	0.194993	6765983	47333	14	0.194993	6765983	47333
Chr1	6871227	medium_sv	556	30	0.188711	6874016	2789	30	0.179799	6874016	2789
Chr1	6874401	small_sv	260	15	0.189292	6874016	-385	15	0.175373	6874016	-385
Chr1	7344575	small_sv	53	111	0.18018	7348284	3709	111	0.18018	7348284	3709
Chr1	7436208	medium_sv	644	13	0.120959	7457962	21754	13	0.120959	7457962	21754
Chr1	7982287	medium_sv	687	13	0.134	8015363	33076	13	0.134	8015363	33076
Chr1	8177718	small_sv	121	12	0.185815	8194007	16289	12	0.185815	8194007	16289
Chr1	8177718	small_sv	122	34	0.138974	8177846	128	34	0.138974	8177846	128
Chr1	8235142	medium_sv	1995	16	0.195769	8232211	-2931	16	0.195769	8232211	-2931
Chr1	8375387	small_sv	91	15	0.127871	8377439	2052	15	0.127871	8377439	2052
Chr1	8698557	small_sv	204	12	0.147997	8740876	42319	12	0.147997	8740876	42319
Chr1	9004763	large_sv	10950	13	0.147983	9004350	-413	13	0.147983	9004350	-413
Chr1	9307673	medium_sv	828	14	0.183871	9310116	2443	14	0.187017	9310116	2443
Chr1	9890315	small_sv	183	18	0.135861	9919034	28719	18	0.135861	9919034	28719
Chr1	10003619	medium_sv	2138	154	0.183824	10007772	4153	154	0.183824	10007772	4153
Chr1	10199553	medium_sv	513	18	0.097323	10212920	13367	18	0.097323	10212920	13367
Chr1	10655865	small_sv	64	19	0.104529	10620398	-35467	19	0.104529	10620398	-35467
Chr1	11287968	small_sv	59	17	0.158588	11288429	461	17	0.158588	11288429	461
Chr1	11288027	small_sv	293	17	0.158588	11288429	402	17	0.158588	11288429	402
Chr1	11429812	small_sv	215	51	0.109141	11465933	36121	51	0.111296	11466023	36211
Chr1	11429812	small_sv	215	51	0.109141	11465933	36121	128	0.091411	11433000	3188
Chr1	11429812	small_sv	215	128	0.091411	11433000	3188	51	0.111296	11466023	36211
Chr1	11429812	small_sv	215	128	0.091411	11433000	3188	128	0.091411	11433000	3188
Chr1	11434050	small_sv	60	208	0.176975	11412713	-21337	208	0.176975	11412713	-21337
Chr1	11440986	small_sv	332	96	0.195547	11441158	172	96	0.195547	11441158	172
Chr1	11501359	small_sv	214	26	0.181641	11498027	-3332	26	0.181641	11498027	-3332
Chr1	11692221	medium_sv	952	135	0.181994	11692114	-107	135	0.181994	11692114	-107
Chr1	11973717	small_sv	184	15	0.153356	11972516	-1201	15	0.155703	11972516	-1201
Chr1	12002914	medium_sv	1544	13	0.136714	12005516	2602	13	0.136714	12005516	2602
Chr1	12483083	small_sv	499	16	0.144552	12482404	-679	16	0.144552	12482404	-679
Chr1	12584108	small_sv	134	40	0.188642	12568688	-15420	40	0.188642	12568688	-15420
Chr1	13028109	small_sv	79	13	0.114372	13040051	11942	13	0.114372	13040051	11942
Chr1	16576507	small_sv	261	25	0.158925	16531623	-44884	25	0.158925	16531623	-44884
Chr1	16576910	small_sv	55	44	0.166264	16580175	3265	44	0.166264	16580175	3265
Chr1	16642531	small_sv	57	96	0.198152	16642322	-209	96	0.198152	16642322	-209
Chr1	17136215	small_sv	444	33	0.118352	17116867	-19348	33	0.117545	17087160	-49055
Chr1	17279573	small_sv	118	14	0.185815	17266029	-13544	14	0.185815	17266029	-13544
Chr1	17436847	small_sv	86	12	0.122017	17433215	-3632	12	0.122017	17433215	-3632
Chr1	17559109	small_sv	140	12	0.198356	17558857	-252	12	0.198356	17558857	-252
Chr1	17573810	medium_sv	836	17	0.146132	17565691	-8119	17	0.146132	17565691	-8119
Chr1	17882894	small_sv	79	14	0.111314	17862100	-20794	14	0.111314	17862100	-20794
Chr1	17882894	small_sv	70	14	0.175156	17884479	1585	14	0.175156	17884479	1585
Chr1	18154228	large_sv	9240	143	0.134654	18153505	-723	143	0.134654	18153505	-723
Chr1	18398738	medium_sv	576	13	0.190826	18400209	1471	13	0.190826	18400209	1471
Chr1	18626691	small_sv	106	113	0.166945	18671093	44402	113	0.166945	18671093	44402
Chr1	18645194	small_sv	296	117	0.192935	18644437	-757	117	0.192935	18644437	-757
Chr1	18911379	medium_sv	1698	80	0.18875	18874929	-36450	80	0.18875	18874929	-36450
Chr1	18959893	small_sv	106	13	0.159021	18973040	13147	13	0.159021	18973040	13147
Chr1	19002507	small_sv	330	12	0.198141	19033172	30665	12	0.198141	19033172	30665
Chr1	19262060	medium_sv	705	12	0.134	19213965	-48095	12	0.134	19213965	-48095
Chr1	19496286	medium_sv	1883	146	0.124508	19515624	19338	146	0.124508	19515624	19338
Chr1	19553368	small_sv	54	26	0.170381	19550246	-3122	26	0.170381	19550246	-3122
Chr1	19553435	small_sv	127	28	0.149509	19550246	-3189	28	0.149509	19550246	-3189
Chr1	19665410	medium_sv	1240	23	0.196557	19682311	16901	23	0.196557	19682311	16901
Chr1	19740611	medium_sv	728	18	0.194804	19692344	-48267	18	0.194804	19692344	-48267
Chr1	19802984	medium_sv	789	16	0.094227	19809131	6147	16	0.094227	19809131	6147
Chr1	20206633	small_sv	226	23	0.13607	20167855	-38778	23	0.13607	20167855	-38778
Chr1	20206633	small_sv	226	23	0.13607	20167855	-38778	13	0.134	20218407	11774
Chr1	20206633	small_sv	226	13	0.134	20218407	11774	23	0.13607	20167855	-38778
Chr1	20206633	small_sv	226	13	0.134	20218407	11774	13	0.134	20218407	11774
Chr1	20311846	large_sv	8713	14	0.172913	20321428	9582	14	0.172913	20321428	9582
Chr1	20508089	medium_sv	2069	35	0.147714	20492680	-15409	35	0.147714	20492680	-15409
Chr1	20834619	medium_sv	681	17	0.120022	20830771	-3848	17	0.120022	20830771	-3848
Chr1	21069055	small_sv	344	14	0.073048	21035571	-33484	14	0.073048	21035571	-33484
Chr1	21124525	medium_sv	1998	12	0.147997	21130534	6009	12	0.147997	21130534	6009
Chr1	21448536	small_sv	53	12	0.182259	21438597	-9939	12	0.182259	21438597	-9939
Chr1	21463017	medium_sv	818	38	0.199642	21458315	-4702	38	0.199642	21458315	-4702
Chr1	21616389	small_sv	96	21	0.191943	21637894	21505	21	0.188144	21637894	21505
Chr1	21660568	small_sv	291	13	0.121047	21661443	875	13	0.121047	21661443	875
Chr1	21688345	medium_sv	580	17	0.13164	21734851	46506	17	0.13164	21734851	46506
Chr1	21711235	small_sv	175	12	0.171677	21711946	711	12	0.171677	21711946	711
Chr1	22187212	small_sv	130	16	0.094118	22187057	-155	16	0.094118	22187057	-155
Chr1	22187212	small_sv	134	13	0.070973	22140791	-46421	13	0.070973	22140791	-46421
Chr1	22319022	small_sv	91	14	0.105056	22329998	10976	14	0.105056	22329998	10976
Chr1	22931573	medium_sv	1021	13	0.134	22925067	-6506	13	0.134	22925067	-6506
Chr1	22931573	medium_sv	1021	13	0.134	22925067	-6506	13	0.134	22975335	43762
Chr1	22931573	medium_sv	1021	13	0.134	22975335	43762	13	0.134	22925067	-6506
Chr1	22931573	medium_sv	1021	13	0.134	22975335	43762	13	0.134	22975335	43762
Chr1	23124923	medium_sv	774	59	0.178167	23124002	-921	59	0.178167	23124002	-921
Chr1	23125810	small_sv	71	47	0.145963	23124002	-1808	47	0.145963	23124002	-1808
Chr1	23262863	small_sv	302	12	0.178342	23258661	-4202	12	0.178342	23258661	-4202
Chr1	23369070	medium_sv	1302	16	0.192716	23401455	32385	16	0.192716	23401455	32385
Chr1	23369505	small_sv	342	15	0.170124	23366206	-3299	15	0.170124	23366206	-3299
Chr1	23513073	small_sv	72	19	0.136283	23513828	755	19	0.136283	23513828	755
Chr1	23753560	small_sv	275	26	0.182997	23753352	-208	26	0.182997	23753352	-208
Chr1	23984628	small_sv	130	16	0.148103	23984944	316	16	0.148103	23984944	316
Chr1	24047562	small_sv	74	12	0.185815	24050248	2686	12	0.185815	24050248	2686
Chr1	24188632	medium_sv	784	14	0.152936	24189463	831	14	0.152936	24189463	831
Chr1	24201231	small_sv	249	16	0.142342	24210378	9147	16	0.142342	24210378	9147
Chr1	24427757	small_sv	95	16	0.1431	24428162	405	16	0.1431	24428162	405
Chr1	24470445	small_sv	305	23	0.182052	24422422	-48023	23	0.182052	24422422	-48023
Chr1	24471597	medium_sv	4196	18	0.100261	24467217	-4380	18	0.100261	24467217	-4380
Chr1	24553364	medium_sv	1813	14	0.185815	24524352	-29012	14	0.185815	24524352	-29012
Chr1	24590220	small_sv	146	71	0.068153	24586784	-3436	71	0.068153	24586784	-3436
Chr1	24601272	medium_sv	726	12	0.170814	24600338	-934	12	0.170814	24600338	-934
Chr1	24636433	small_sv	196	77	0.148987	24637666	1233	77	0.148987	24637666	1233
Chr1	24646748	small_sv	122	14	0.191775	24602780	-43968	14	0.188392	24602780	-43968
Chr1	24923945	small_sv	85	12	0.160769	24921899	-2046	12	0.160769	24921899	-2046
Chr1	25063369	small_sv	55	12	0.102581	25068067	4698	12	0.102581	25068067	4698
Chr1	25118273	medium_sv	967	12	0.147996	25166453	48180	12	0.147996	25166453	48180
Chr1	25324282	small_sv	407	22	0.151496	25301496	-22786	22	0.151496	25301496	-22786
Chr1	25721987	medium_sv	756	21	0.164475	25746809	24822	21	0.164475	25746809	24822
Chr1	26366125	large_sv	6004	14	0.122017	26357151	-8974	14	0.122017	26357151	-8974
Chr1	26880194	medium_sv	1299	14	0.172059	26882272	2078	14	0.172059	26882272	2078
Chr1	27835159	small_sv	120	16	0.19845	27835195	36	16	0.19845	27835195	36
Chr1	27932589	medium_sv	1081	21	0.178951	27973654	41065	21	0.178951	27973654	41065
Chr1	28085201	small_sv	103	15	0.183136	28084918	-283	15	0.183136	28084918	-283
