A	B	nA	nB	nU	nI	jaccard
100709	100715	28690459	29418378	37283638	20825199	0.558561
100709	100725	28690459	29406610	35524685	22572384	0.635400
100709	100727	28690459	29128483	36327708	21491234	0.591593
100709	100728	28690459	29175098	35634363	22231194	0.623870
100709	100742	28690459	29702590	35938212	22454837	0.624818
100709	100745	28690459	29019748	35226520	22483687	0.638260
100709	100751	28690459	29168633	35613646	22245446	0.624633
100709	100753	28690459	29142866	35242760	22590565	0.640999
100709	100755	28690459	29081003	35077828	22693634	0.646951
100709	100758	28690459	29124879	35528155	22287183	0.627310
100709	100759	28690459	29090454	34965107	22815806	0.652531
100709	100760	28690459	29410487	35544719	22556227	0.634587
100709	100761	28690459	28951231	35876984	21764706	0.606648
100709	100763	28690459	29283716	34951439	23022736	0.658706
100709	100764	28690459	29277283	35122381	22845361	0.650450
100709	100765	28690459	29113385	35002365	22801479	0.651427
100709	100766	28690459	29400535	35142909	22948085	0.652993
100709	100778	28690459	29171201	37243400	20618260	0.553608
100709	100784	28690459	29266264	35944916	22011807	0.612376
100709	100787	28690459	29031144	32780131	24941472	0.760872
100709	100792	28690459	29368745	35686645	22372559	0.626917
100709	100800	28690459	28702931	35206657	22186733	0.630186
100709	100805	28690459	29195372	35194590	22691241	0.644737
100709	100838	28690459	28848865	35754800	21784524	0.609276
100709	100852	28690459	28883223	36155035	21418647	0.592411
100709	100861	28690459	29116771	35863860	21943370	0.611852
100709	100862	28690459	28928693	36662870	20956282	0.571594
100709	100891	28690459	29266191	35903541	22053109	0.614232
100709	100892	28690459	28960124	36352895	21297688	0.585859
100709	100902	28690459	29028667	36979819	20739307	0.560828
100709	100916	28690459	29209349	31189963	26709845	0.856360
100709	100954	28690459	28683732	35279517	22094674	0.626275
100709	100958	28690459	28731221	35448523	21973157	0.619861
100709	100959	28690459	28963241	35328937	22324763	0.631912
100709	100988	28690459	28508645	34893320	22305784	0.639257
100709	101003	28690459	29035155	35605170	22120444	0.621271
100709	101018	28690459	28868194	34980335	22578318	0.645457
100709	101023	28690459	28812651	32235475	25267635	0.783846
100709	101024	28690459	28597387	35217315	22070531	0.626695
100709	101025	28690459	28852980	35314555	22228884	0.629454
100709	101027	28690459	28653956	35129547	22214868	0.632370
100709	101040	28690459	29028325	35292403	22426381	0.635445
100709	101054	28690459	29104255	36752981	21041733	0.572518
