chrom,pos,ref_len,alt_len,size,vclass,sig_classes,best_axis,best_nlp,n_axes,MAF,tier,region,gene,symbol,protein_name,categories,strand,te_overlap,nearest_gene,dist_to_gene,block,block_span_genes,block_gene_mismatch,snp_cosig_2kb,snp_cosig_dist,snp_cosig_axes
Chr1,23186797,2,2,0,snp,"nonsnp,smallindel",bio15,13.925366631453253,4,0.0636099902066317,1_CDS,CDS,AT1G62630,AT1G62630,Probable disease resistance protein At1g62630 (pNd4),defense,+,False,AT1G62630,0,Chr1_11181,AT1G62610;AT1G62620;AT1G62630,False,True,48.0,"bio1,bio15,bio5,pc1"
Chr4,5444542,4,1,3,smallindel,"nonsnp,smallindel",bio15,12.328055752435956,1,0.064057626507499,1_CDS,CDS,AT4G08550,AT4G08550,Electron carrier/ protein disulfide oxidoreductase,,+,False,AT4G08550,0,Chr4_1899,AT4G08550,False,False,,
Chr3,7805120,451,1,450,sv,"nonsnp,sv",bio15,11.628905627479597,2,0.0657069303772666,1_CDS,CDS,AT3G22142,AT3G22142,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,defense,-,True,AT3G22142,0,Chr3_3828,AT3G22142,False,True,1475.0,bio15
Chr3,7807437,2,2,0,snp,smallindel,bio15,11.186280956883513,1,0.0657069303772666,1_CDS,CDS,AT3G22142,AT3G22142,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,defense,-,False,AT3G22142,0,Chr3_3828,AT3G22142,False,True,7.0,bio15
Chr3,6812539,4,1,3,smallindel,"nonsnp,smallindel",bio15,10.99753919378512,1,0.0687237869609486,1_CDS,CDS,AT3G19610,CORD6,Protein CORTICAL MICROTUBULE DISORDERING 6 (AtCORD6),temperature,-,False,AT3G19610,0,Chr3_3323,AT3G19600;AT3G19610,False,False,,
Chr2,11490838,10,1,9,smallindel,"nonsnp,smallindel",bio3,10.351154552870009,3,0.050699846311049,1_CDS,CDS,AT2G26920,AT2G26920,Ubiquitin-associated/translation elongation factor EF1B protein,,+,False,AT2G26920,0,Chr2_4298,AT2G26920;AT2G26930,False,False,,
Chr3,6601541,4,1,3,smallindel,"nonsnp,smallindel",bio15,10.014864119028264,3,0.073329595002261,1_CDS,CDS,AT3G19090,LARP6C,La-related protein 6C (AtLARP6c),,+,False,AT3G19090,0,Chr3_3208,AT3G19085;AT3G19090,False,True,58.0,"bio10,bio15"
Chr5,5823011,1,22,21,smallindel,"nonsnp,smallindel",bio15,9.530548878348064,1,0.1502253033898093,1_CDS,CDS,AT5G17680,MVA3.30,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),defense,+,False,AT5G17680,0,Chr5_2839,AT5G17670;AT5G17680,False,True,258.0,bio15
Chr4,6927138,46,1,45,smallindel,"nonsnp,smallindel",bio6,9.17793474401629,3,0.2881477529352361,1_CDS,CDS,AT4G11385,AT4G11385,Uncharacterized protein,,-,False,AT4G11385,0,Chr4_2672,AT4G11385;AT4G11390,False,False,,
Chr4,5370156,1,40,39,smallindel,"nonsnp,smallindel",bio10,9.035990315988078,1,0.2727324312383478,1_CDS,CDS,AT4G08450,AT4G08450,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),"oxidative,defense",+,False,AT4G08450,0,Chr4_1855,AT4G08450,False,True,2.0,bio10
Chr5,11111957,6,1,5,smallindel,"nonsnp,smallindel",bio15,8.942527312591348,2,0.0533885630694302,1_CDS,CDS,AT5G29050,AT5G29050,Uncharacterized protein,,+,False,AT5G29050,0,Chr5_5562,AT5G29050,False,True,66.0,"bio15,pc1"
Chr4,7202195,2,2,0,snp,"nonsnp,smallindel",bio11,8.88793281699132,2,0.076461829922416,1_CDS,CDS,AT4G12020,WRKY19,Probable WRKY transcription factor 19 (WRKY DNA-binding protein 19),defense,+,False,AT4G12020,0,Chr4_2922,AT4G12005;AT4G12010;AT4G12020,False,True,792.0,"bio11,bio6,pc1"
Chr3,16612508,2,2,0,snp,"nonsnp,smallindel",bio10,8.759857539263834,2,0.1693793535232544,1_CDS,CDS,AT3G45280,SYP72,Syntaxin-72 (AtSYP72),defense,-,True,AT3G45280,0,Chr3_6950,AT3G45280,False,True,4.0,"bio1,bio10"
Chr3,6594752,2,1,1,smallindel,"nonsnp,smallindel",bio10,8.545623089618594,3,0.1142108115282925,1_CDS,CDS,AT3G19070,AT3G19070,Homeodomain-like superfamily protein,,+,False,AT3G19070,0,Chr3_3205,AT3G19055;AT3G19070;AT3G19080,False,False,,
Chr1,19091186,7,1,6,smallindel,"nonsnp,smallindel",bio15,8.518758880508383,1,0.0942723317579789,1_CDS,CDS,AT1G51480,AT1G51480,Probable disease resistance protein At1g51480,defense,-,False,AT1G51480,0,Chr1_8613,AT1G51470;AT1G51480,False,True,23.0,bio15
Chr3,8661610,2,2,0,snp,"nonsnp,smallindel",bio15,8.374534208006933,1,0.0588808818296952,1_CDS,CDS,AT3G23970,AT3G23970,Putative F-box protein At3g23970,,-,False,AT3G23970,0,Chr3_4348,AT3G23955;AT3G23960;AT3G23970;AT3G23980,False,True,2.0,bio15
Chr4,7204359,1,313,312,sv,sv,bio11,8.320399933682417,5,0.076461829922416,1_CDS,CDS,AT4G12020,WRKY19,Probable WRKY transcription factor 19 (WRKY DNA-binding protein 19),defense,+,False,AT4G12020,0,Chr4_2922,AT4G12005;AT4G12010;AT4G12020,False,False,,
Chr1,11976073,1,4,3,smallindel,"nonsnp,smallindel",bio10,8.27824983934003,2,0.3583178086714311,1_CDS,CDS,AT1G33060,NAC014,NAC domain-containing protein 14 (ANAC014) (Protein NTM1-like 2),,-,False,AT1G33060,0,Chr1_6539,AT1G33050;AT1G33055;AT1G33060,False,False,,
Chr1,12852384,2,2,0,snp,"nonsnp,smallindel",bio15,8.211085632841085,1,0.2441026947715065,1_CDS,CDS,AT1G35140,EXL1,Protein EXORDIUM-like 1 (PHOSPHATE-INDUCED 1),oxidative,+,False,AT1G35140,0,Chr1_6875,AT1G34790;AT1G34792;AT1G34795;AT1G34800;AT1G34805;AT1G34810;AT1G34815;AT1G34820;AT1G34825;AT1G34830;AT1G34840;AT1G34850;AT1G34860;AT1G34910;AT1G34930;AT1G35030;AT1G35035;AT1G35040;AT1G35140;AT1G35150;AT1G35160,False,False,,
Chr5,5643343,2,2,0,snp,"nonsnp,smallindel",bio17,8.098522967443342,1,0.1778655594045465,1_CDS,CDS,AT5G17165,AT5G17165,Late embryogenesis abundant protein At5g17165,,-,False,AT5G17165,0,Chr5_2716,AT5G17165,False,False,,
Chr3,18618085,2,2,0,snp,"nonsnp,smallindel",bio14,8.091041992614633,1,0.487356576052579,1_CDS,CDS,AT3G50220,IRX15,Protein IRREGULAR XYLEM 15 (AtIRX15),,-,False,AT3G50220,0,Chr3_8210,AT3G50210;AT3G50220,False,True,8.0,"bio14,bio15"
Chr3,7953589,1,4,3,smallindel,"nonsnp,smallindel",bio15,8.0489120792829,2,0.1217278892343694,1_CDS,CDS,AT3G22430,MCB17.18,RNA recognition motif XS domain protein,,+,False,AT3G22430,0,Chr3_3896,AT3G22420;AT3G22421;AT3G22425;AT3G22430,False,True,940.0,bio15
Chr5,18511219,15,4,11,smallindel,"nonsnp,smallindel",bio15,7.982363533352692,1,0.10877141085538,1_CDS,CDS,AT5G45640,SBT5.5,Subtilisin-like protease SBT5.5 (EC 3.4.21.-) (Subtilase subfamily 5 member 5) (AtSBT5.5),,-,False,AT5G45640,0,Chr5_9052,AT5G45640,False,False,,
