cls,gen,n_records,n_samples,mean,median,q10,q90,frac_lost,frac_fixed
snp,p0,6237063,8,0.10445992648601532,0.021246250718832016,0.004312499891966581,0.3341974914073944,0.0,0.0
indel,p0,2026115,8,0.09653854370117188,0.02167375013232231,0.004073750227689743,0.2965237498283386,0.0,0.0
sv,p0,226468,8,0.03625275567173958,0.011031249538064003,0.0038274999242275953,0.06335362717509277,0.0,0.0
snp,g1,6237063,24,0.10596010088920593,0.023866666480898857,0.0025166666600853205,0.33747416734695357,0.0,0.0
indel,g1,2026115,24,0.09851203858852386,0.024974999949336052,0.0027041665744036436,0.2998708188533783,0.0,0.0
sv,g1,226468,24,0.036845747381448746,0.01034375000745058,0.0018500000005587935,0.06597625240683563,0.0,0.0
snp,g2,6237063,22,0.11433783173561096,0.019850000739097595,0.0011545454617589712,0.3832181990146637,6.73393871442376e-06,0.0
indel,g2,2026115,22,0.10644076019525528,0.02079545520246029,0.0012409090995788574,0.3466799914836888,6.909775605037226e-06,0.0
sv,g2,226468,22,0.039710965007543564,0.00496363639831543,0.0007409090758301318,0.08336363732814789,3.090944415988131e-05,0.0
snp,g3,6237063,11,0.12521174550056458,0.014527272433042526,0.0007272727089002728,0.5047981977462752,0.0007085065518818713,1.44298686737652e-06
indel,g3,2026115,11,0.11630246043205261,0.014672727324068546,0.0007818181766197085,0.4693908989429474,0.0006717288998896903,4.935554003598019e-07
sv,g3,226468,11,0.043062034994363785,0.0028909090906381607,0.0004181818221695721,0.07668454945087448,0.0022563894236713356,0.0
