block,stat,MAF
1_0,0.40015692,0.00555875
1_0,0.21034549,0.02243625
1_0,0.45160744,0.08747125
1_0,0.27880704,0.00696875
1_0,0.030196244,0.00146875
1_0,0.73473823,0.00401
1_0,0.71050966,0.00686
1_0,0.40968522,0.0043125
1_0,0.016242936,0.0055775
1_0,0.30211192,0.01109375
1_0,0.3494307,0.0109825
1_0,0.13494009,0.00490125
1_0,0.6014008,0.01173
1_0,0.06973794,0.0051075
1_0,0.32208142,0.00534875
1_0,0.9255935,0.0026175
1_0,0.0012383125,0.00171625
1_0,0.01625299,0.00551375
1_0,0.40957552,0.00426625
1_0,0.5999252,0.01159625
1_0,0.13732494,0.00484875
1_0,0.32301793,0.00529
1_0,0.72460437,0.0069275
1_0,0.2591367,0.0039275
1_0,0.06916616,0.00505375
1_0,0.85961384,0.0037925
1_0,0.6929709,0.01075125
1_0,0.20252025,0.0075925
1_0,0.023380801,0.00358625
1_0,0.30242267,0.0071825
1_0,0.009571742,0.00516625
1_0,0.028887136,0.00145
1_0,0.8968934,0.0360875
1_0,0.028635584,0.01471125
1_0,0.30109054,0.02007
1_0,0.4959031,0.04122375
1_0,0.17312789,0.0092375
1_0,0.030222109,0.00200125
1_0,0.085023224,0.2096825
1_0,0.5978299,0.00598
1_0,0.0011996825,0.00170875
1_0,0.6005844,0.00575875
1_0,0.1307743,0.0372
1_0,0.5475978,0.15691376
1_0,0.06417361,0.00529
1_0,0.07628142,0.01156
1_0,0.03799685,0.0014775
1_4,0.6054833,0.00531125
1_4,0.29594994,0.00630125
1_4,0.30487874,0.005785
1_4,0.0048303963,0.00829875
1_4,0.033902507,0.001445
1_4,0.64555246,0.002795
1_7,0.12444646,0.00467625
1_8,0.20312043,0.15887874
1_8,0.6855185,0.04271125
1_8,0.25491944,0.04664
1_8,0.12949267,0.0046075
1_8,0.45662874,0.00944625
1_8,0.99958014,0.0272
1_8,0.8751494,0.005175
1_8,0.5450639,0.00201625
1_8,0.45662874,0.00944625
1_11,0.7376159,0.02439
1_11,0.14098674,0.00405375
1_11,0.6273431,0.0376
1_11,0.13711251,0.00901
1_11,0.6882797,0.0038975
1_11,0.016047927,0.00591875
1_11,0.98944587,0.0049075
1_11,0.012358982,0.002165
1_11,0.48935238,0.0062775
1_11,0.0070146504,0.00156375
1_11,0.62183475,0.00470125
1_11,0.80676335,0.00857875
1_11,0.000110701745,0.00570625
1_11,0.5186542,0.0089675
1_11,0.273366,0.0068175
1_11,0.41025728,0.00190875
1_11,0.44317746,0.003035
1_11,0.062576436,0.005455
1_11,0.9537586,0.004085
1_11,0.13990507,0.01674375
1_11,0.012831399,0.07682375
1_11,0.4461892,0.01247125
1_11,0.029127784,0.01223875
1_11,0.030807773,0.0192225
1_11,0.61098695,0.0046625
1_11,0.99507564,0.0028225
1_11,0.7992624,0.01186
1_11,0.3623951,0.00825375
1_11,0.0817331,0.01313375
1_11,0.24661495,0.003915
