assembly_id	accession_name	ecotype_id	xwu_ecotype_id	in_xwu_231	dup_id_note
100042	Cvi-0	6911	6911	yes	
100043	BRI-2	9910	9910	yes	
100047	Gel-1	7143	7143	yes	
100053	IP-Per-0	9879	9879	yes	
100108	IP-Alo-0	9506	9506	yes	
100130	IP-Mar-1	9555	9555	yes	
100158	IP-Hum-2	9549	9549	yes	
100208	Altai-5	9758	9758	yes	
100226	Stw-0	7347	7347	yes	
100282	TueWa1-2	10002	10002	yes	
100300	Ei-2	6915	6915	yes	
100302	Nok-3	6945	6945	yes	
100303	Aa-0	7000	7000	yes	
100304	Baa-1	7002	7002	yes	
100305	Bs-1	7003	7003	yes	
100306	Bl-1	7025	7025	yes	
100307	Com-1	7092	7092	yes	
100309	Sten-0	7346	7346	yes	
100310	Tscha-1	7372	7372	yes	
100312	Uk-1	7378	7378	yes	
100313	Est	7127	7127	yes	
100320	IP-Moa-0	9557	9557	yes	
100331	TRÄ 01	6244	6244	yes	
100335	Con-0	9837	9837	yes	
100395	Kru-3	9416	9416	yes	
100516	San-2	8247	8247	yes	
100563	Rhen-1	7316	7316	yes	
100645	Ct-1	6910	7067	yes	Fernando email — same biological accession, xwu uses deprecated ID 7067
100673	Gy-0	8214	8214	yes	
100677	Kondara	6929	6929	yes	
100683	Ms-0	6938	6938	yes	
100685	Per-1	8354	8354	yes	
100691	Sorbo	6963	6963	yes	
100692	St-0	8387	8387	yes	
100697	Mh-0	7255	7255	yes	
100703	Noveg-2	9637	9637	yes	
100705	Kar-1	763	763	yes	
100707	Rubezhnoe-1	7323	7323	yes	
100709	Zal-1	768	768	yes	
100715	Qar-8a	9764	9764	yes	
100725	Dog-4	9992	9992	yes	
100727	Toufl-1	9940	9940	yes	
100728	Anz-0	9759	9759	yes	
100742	UKID107	5811	5811	yes	
100745	Kastel-1	10006	10006	yes	
100751	Giffo-1	9653	9653	yes	
100753	Wl-0	7411	7411	yes	
100755	Vimmerby	8249	8249	yes	
100758	MAR2-3	159	159	yes	
100759	Ler-1	6932	6932	yes	
100760	Pi-0	7298	7298	yes	
100761	Can-0	7063	7063	yes	
100763	Kn-0	7186	7186	yes	
100764	Mt-0	6939	6939	yes	
100765	No-0	7275	7273	yes	Fernando email — same biological accession, xwu uses deprecated ID 7273
100766	Oy-0	7288	7288	yes	
100778	Hau-0	7164	7164	yes	
100784	IP-Orb-10	9565	9565	yes	
100787	Sus-1	765	765	yes	
100792	An-1	6898	6898	yes	
100800	Ty-1	5784	5784	yes	
100805	Tur-4	9470	9470	yes	
100838	IP-Cum-1	9537	9537	yes	
100852	Ped-0	9947	9947	yes	
100861	IP-Vdm-0	9594	9594	yes	
100862	IP-Fun-0	9542	9542	yes	
100891	IP-Nog-17	9564	9564	yes	
100892	IP-Alm-0	9518	9518	yes	
100902	IP-Vis-0	9600	9600	yes	
100916	Neo-6	772	772	yes	
100954	T980	6150	6150	yes	
100958	IP-Mon-5	9559	9559	yes	
100959	TBÖ 01	6184	6184	yes	
100988	Ra-0	6958	6958	yes	
101003	Set-1	5772	5772	yes	
101018	Wei-0	6979	6979	yes	
101023	Dja-1	766	766	yes	
101024	Algutsrum	8230	8230	yes	
101025	Brö1-6	8231	8231	yes	
101027	Ost-0	8351	8351	yes	
101040	Lm-2	7217	7217	yes	
101054	Aitba-1	9606	9606	yes	
