block,stat,MAF
1_0,0.9887751,0.0069925
1_0,0.46594808,0.01301
1_0,0.36890966,0.07780625
1_0,0.019687776,0.00383
1_0,0.00016529796,0.00058625
1_0,0.9582924,0.00649375
1_0,0.9127257,0.00604625
1_0,0.588554,0.00527375
1_0,0.058499012,0.00092
1_0,0.8103715,0.00979875
1_0,0.86124295,0.01764
1_0,0.4197206,0.010405
1_0,0.12696528,0.0077875
1_0,0.28021932,0.00499125
1_0,0.95749354,0.0065175
1_0,0.43038556,0.00203375
1_0,0.9251656,0.00178875
1_0,0.05868394,0.00091
1_0,0.5876052,0.0052125
1_0,0.12591182,0.00769125
1_0,0.4149579,0.01028375
1_0,0.9570433,0.00644125
1_0,0.3741907,0.0081725
1_0,0.9480038,0.00925125
1_0,0.2538612,0.0
1_0,0.13759613,0.002395
1_0,0.9191728,0.01239625
1_0,0.9055753,0.0088925
1_0,0.9534205,0.003045
1_0,0.8859592,0.0072875
1_0,0.9846283,0.0020275
1_0,0.00017343785,0.00057875
1_0,0.97489774,0.05027875
1_0,0.99198574,0.01147125
1_0,0.68600106,0.02424625
1_0,0.93560785,0.04438625
1_0,0.53939253,0.0063225
1_0,0.00034151084,0.00400125
1_0,0.014641405,0.2090325
1_0,0.2931619,0.0099275
1_0,0.9288284,0.00177375
1_0,0.67919,0.0008475
1_0,0.034162346,0.02167875
1_0,0.5219598,0.170545
1_0,0.8422843,0.0041375
1_0,0.018636944,0.003625
1_0,0.00017895318,0.0005875
1_4,0.8862132,0.00368875
1_4,0.01944888,0.00344
1_4,0.6130087,0.00771625
1_4,0.036560487,0.0
1_4,0.00018168191,0.0005725
1_4,0.031522285,0.0009025
1_7,0.016277347,0.0005375
1_8,0.011556175,0.12449875
1_8,0.49434137,0.04590125
1_8,0.57588,0.0415125
1_8,0.016377969,0.00053625
1_8,0.64881414,0.01465875
1_8,0.36570397,0.0395375
1_8,0.32942346,0.0031125
1_8,0.079946265,0.00245125
1_8,0.64881414,0.01465875
1_11,0.37140408,0.04216125
1_11,0.020112148,0.000475
1_11,0.51287013,0.04052
1_11,0.027216367,0.0086175
1_11,0.32030138,0.00695875
1_11,0.062399574,0.0009725
1_11,0.25601196,0.0029575
1_11,0.00025560358,0.0043375
1_11,0.48373896,0.008375
1_11,8.4932086e-05,0.0006225
1_11,0.009436611,0.00396875
1_11,0.022936838,0.0
1_11,6.491368e-05,0.005525
1_11,0.60084397,0.00664625
1_11,0.025780223,0.013945
1_11,0.09521051,0.00232625
1_11,0.023745652,0.00098
1_11,0.2473888,0.00530875
1_11,0.12073561,0.002575
1_11,0.94296575,0.01594875
1_11,0.9657681,0.0836875
1_11,0.15620023,0.008255
1_11,0.9933512,0.010185
1_11,0.5069543,0.027875
1_11,0.47144273,0.00568375
1_11,0.4353374,0.00218625
1_11,0.3913881,0.01046875
1_11,0.8641437,0.0
1_11,0.08074656,0.0177775
1_11,0.78241825,0.0138725
1_11,0.65970856,0.00091875
1_11,0.9068632,0.010715
1_11,0.012429785,0.0066525
1_11,0.3308697,0.0447975
1_11,0.01925591,0.00751875
1_11,0.019952944,0.000475
1_11,0.3226284,0.0512375
1_11,0.99660474,0.292285
1_11,0.28700128,0.0065575
1_11,0.36909953,0.04231
1_11,0.037931055,0.00624125
1_11,0.00589421,0.002275
1_11,0.012548888,0.001935
1_11,0.058462575,0.000945
1_11,0.016504532,0.0061325
1_11,0.020173732,0.00047375
1_11,0.0004752273,0.00063625
1_11,0.85462314,0.00033
1_11,0.31118375,0.04160625
1_11,0.20746836,0.0020175
1_11,0.9223546,0.0161325
1_11,0.055678647,0.00593375
1_11,0.018799283,0.00352625
1_11,0.015982598,0.005215
1_11,0.0009289402,0.08498
1_11,0.02969019,0.000925
1_11,0.20135283,0.00243375
1_11,0.0065010735,0.005145
1_11,0.016539415,0.00629
1_11,0.004263272,0.0
1_11,0.5359657,0.00228875
1_11,0.42426443,0.01016125
1_11,0.0010403696,0.168755
1_13,0.00014650647,0.00059375
1_14,0.18727885,0.00589375
1_14,0.6577541,0.012865
1_14,0.01904433,0.00359375
1_14,0.01565512,0.02957375
1_14,0.00090568955,0.0
1_14,0.020173732,0.00047375
1_14,0.71984553,0.4395275
1_14,0.9070222,0.00881125
1_14,0.00018168191,0.0005725
1_14,0.014650664,0.03205125
1_14,0.36060825,0.03464375
1_14,4.3405038e-05,0.00921875
1_14,0.005968731,0.0022325
1_14,0.0051967436,0.01193125
1_15,0.07499678,0.01395125
1_16,0.5393562,0.00624875
1_16,0.6901269,0.00086375
1_16,0.027750907,0.06855625
1_16,0.08676051,0.03053375
1_17,0.010231644,0.0051025
1_17,0.028638441,0.000905
1_17,0.007822682,0.00233375
1_17,0.0007065298,0.0
1_17,0.0003501166,0.0040175
1_17,0.025271004,0.00366625
1_20,0.00018168191,0.0005725
1_20,0.004750985,0.00703
1_33,0.59992236,0.00529125
1_34,0.00027699358,0.00432
1_35,0.0025746364,0.02397
1_35,0.00061895873,0.00427375
1_35,0.4288591,0.002025
1_35,0.049605977,0.0496125
1_39,0.00018168191,0.0005725
1_39,0.5644086,0.02544625
1_39,0.9473553,0.01318625
1_39,0.01946924,0.0004875
1_39,0.192798,0.0659075
1_39,0.7107343,0.01307
1_39,0.9529352,0.00180625
1_39,0.98724693,0.00204375
1_39,0.005968731,0.0022325
1_39,0.937288,0.00342
1_39,0.5320818,0.0
1_39,0.63963795,0.0165775
1_39,0.016090123,0.02850875
1_39,0.07336953,0.006935
1_39,0.15734906,0.030055
1_39,0.34869158,0.03463125
1_41,0.71212953,0.009355
1_42,0.5587599,0.0070025
1_42,0.010797877,0.00567125
1_42,0.032933626,0.00100625
1_42,0.6055598,0.0
1_42,0.008336497,0.00861125
1_42,0.39269605,0.018825
1_42,0.9651112,0.00500625
1_42,0.02037423,0.00407625
1_42,0.000116742194,0.00064125
1_42,0.05512057,0.00100625
1_42,0.07966958,0.0024
1_42,0.31966767,0.00305
1_42,4.494447e-05,0.006845
