founder	count	weight
6911	1	0.02
9910	0	0.0
7143	1	0.02
9879	1	0.02
9506	0	0.0
9555	3	0.06
9549	1	0.02
9758	1	0.02
7347	0	0.0
10002	0	0.0
6915	0	0.0
6945	2	0.04
7000	1	0.02
7002	1	0.02
7003	0	0.0
7025	0	0.0
7092	1	0.02
7346	0	0.0
7372	1	0.02
7378	1	0.02
7127	1	0.02
9557	0	0.0
6244	2	0.04
9837	2	0.04
9416	1	0.02
8247	0	0.0
7316	0	0.0
6910	0	0.0
8214	0	0.0
6929	1	0.02
6938	1	0.02
8354	2	0.04
6963	0	0.0
8387	0	0.0
7255	0	0.0
9637	0	0.0
763	0	0.0
7323	0	0.0
768	0	0.0
9764	1	0.02
9992	0	0.0
9940	1	0.02
9759	1	0.02
5811	0	0.0
10006	1	0.02
9653	1	0.02
7411	0	0.0
8249	0	0.0
159	1	0.02
6932	0	0.0
7298	0	0.0
7063	0	0.0
7186	1	0.02
6939	1	0.02
7275	1	0.02
7288	1	0.02
7164	0	0.0
9565	1	0.02
765	0	0.0
6898	0	0.0
5784	1	0.02
9470	0	0.0
9537	1	0.02
9594	1	0.02
9542	1	0.02
9564	1	0.02
9518	1	0.02
9600	0	0.0
772	0	0.0
6150	0	0.0
9559	0	0.0
6184	1	0.02
6958	2	0.04
6979	0	0.0
766	0	0.0
8230	0	0.0
8231	1	0.02
8351	2	0.04
7217	1	0.02
9606	1	0.02
