block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir
1_4566,111,24,8.323250561069694,5.827587454061583e-25,3.3288154556387894e-05,Chr1,25596261.0,65,46,25609170,1,0.0034830715,up-in-warm
4_955,10,8,7.350822119522419,4.420360000000032e-15,5.349669643006649e-05,Chr4,7863626.0,10,0,7863539,1,0.53590256,up-in-warm
1_2192,148,28,7.073237107202598,3.9157340339931884e-27,0.0005213751318248,Chr1,16559724.0,85,63,16565746,67,-0.011604135,down-in-warm
1_4289,10,4,6.053927770050841,2.001276156940847e-06,0.0007530676354059,Chr1,24533330.0,9,1,24533330,1097,0.023692597,up-in-warm
5_2346,19,7,5.910121058158429,4.5348315067146266e-10,0.001047996118496,Chr5,20263428.0,14,5,20263706,623,0.12450079,up-in-warm
2_1218,36,14,5.904946866907907,3.088917716581155e-19,0.0012002426515941,Chr2,10947844.0,22,14,10945509,440,0.09136029,up-in-warm
1_2697,7,6,5.680076343505832,6.940000000000036e-12,0.0014536775701757,Chr1,19426042.0,7,0,19426301,1,0.37738553,up-in-warm
4_3052,36,8,5.742846037652403,2.3575807495915422e-09,0.0015819546682492,Chr4,18424481.0,20,16,18434327,1,-0.003863563,down-in-warm
4_1770,6,3,5.6077021414491695,1.955359000000005e-05,0.0016412519280198,Chr4,9668905.0,5,1,9668795,64,0.066970624,up-in-warm
2_1926,10,4,5.580439046989939,2.001276156940847e-06,0.0017631644795088,Chr2,17992729.0,9,1,17992542,612,0.27382421,up-in-warm
4_1785,2,2,5.528793518692115,0.0001,0.0018406544908506,Chr4,9727175.5,2,0,9727143,2,0.17312047,up-in-warm
2_1268,70,18,5.799705238656587,1.4144806858779303e-20,0.0018444958467658,Chr2,11595646.5,44,26,11594882,1,0.09358421,up-in-warm
4_2181,99,20,5.872672037024596,2.014686559508801e-20,0.002062916895151,Chr4,10711987.0,67,32,10711987,1,0.05205428,up-in-warm
4_2781,22,6,5.482688768377495,6.502481877192564e-08,0.0022353780704627,Chr4,15468585.5,14,8,15466240,85,0.035636265,up-in-warm
1_417,61,12,5.57276266494553,1.1065843929454794e-12,0.0024715065370286,Chr1,3500882.0,37,24,3484064,1,0.028310658,up-in-warm
5_1139,2,2,5.338947408909485,0.0001,0.0025517775592841,Chr5,15382483.0,2,0,15382471,1,0.3036955,up-in-warm
5_1140,2,2,5.338947408909485,0.0001,0.0025517775592841,Chr5,15383088.0,2,0,15382967,1,0.3036955,up-in-warm
2_1459,121,26,5.78481123587557,7.753421908452544e-27,0.0027916408914436,Chr2,13947826.0,75,46,13959049,1,0.027331427,up-in-warm
1_2625,7,2,5.195308626300332,0.00203104163494,0.0033211234058068,Chr1,19047844.0,5,2,19045447,2138,0.18919604,up-in-warm
2_865,3,3,5.176737242657857,1.0000000000000027e-06,0.0033619295827529,Chr2,7962064.0,3,0,7961975,1,0.6215165,up-in-warm
4_132,16,5,5.212280573572694,3.9843174580105195e-07,0.0033720724691724,Chr4,1143262.0,12,4,1143262,1,0.06189734,up-in-warm
1_2451,11,4,5.041053506856986,3.11975457442924e-06,0.0043344082832941,Chr1,17899956.0,6,5,17906897,55,-0.014410154,down-in-warm
3_1541,17,1,5.015405393572991,0.1570568066160732,0.0046293022545987,Chr3,13303680.0,12,5,13285995,1,0.00825185,up-in-warm
3_340,39,5,5.056168291073472,4.336845939780712e-05,0.0048062150696555,Chr3,3290191.0,32,7,3308642,922,0.094879486,up-in-warm
4_2412,12,3,4.924578430373647,0.0002056160777666,0.0052236027304639,Chr4,11695575.0,10,2,11695741,362,0.09589553,up-in-warm
1_3727,32,8,4.957339359807838,8.491875520731233e-10,0.0053985915315171,Chr1,22987313.0,22,10,22987274,7,0.11343213,up-in-warm
5_1137,2,2,4.852287621917284,0.0001,0.005634184319703,Chr5,15377767.5,2,0,15376649,1,0.07885007,up-in-warm
4_1343,22,5,4.889930324893597,2.2848314242291675e-06,0.005729876756662,Chr4,8725040.0,16,6,8725040,1251,0.0983286,up-in-warm
3_1497,4,2,4.840416296775962,0.00059203,0.0057791471716088,Chr3,11919983.0,4,0,11920047,214,0.20086418,up-in-warm
5_2001,7,3,4.840271151259164,3.396253015000008e-05,0.0058415043300619,Chr5,17985873.0,6,1,17985485,1,0.029291524,up-in-warm
5_1657,13,4,4.849414447182498,6.652021264699332e-06,0.0058863811318531,Chr5,17202806.0,11,2,17202806,1,0.19364978,up-in-warm
3_207,14,6,4.817786456119728,2.803275440129146e-09,0.0061992464614556,Chr3,1999116.0,8,6,1984008,1,0.21899773,up-in-warm
1_2789,21,7,4.829078722429433,1.0282980316608016e-09,0.0062550273124327,Chr1,19768399.0,12,9,19769025,549,0.05652432,up-in-warm
5_2925,12,4,4.806460247744992,4.642283320235311e-06,0.0062616797139019,Chr5,24422668.0,9,3,24422668,1,0.11112368,up-in-warm
2_887,2,2,4.775094577724093,0.0001,0.0063504676865799,Chr2,8128292.5,2,0,8134531,1,0.21843763,up-in-warm
1_1966,143,24,5.291051686881905,3.5397464457073004e-22,0.0063592157135593,Chr1,11982281.0,78,65,11979686,1,0.013271363,up-in-warm
3_795,7,3,4.779064128111378,3.396253015000008e-05,0.0064167244434941,Chr3,8273218.0,4,3,8276034,217,0.047904544,up-in-warm
3_1426,21,6,4.807232539230789,4.7698504587915924e-08,0.0064628239571797,Chr3,11272429.0,14,7,11272429,1,0.031337712,up-in-warm
3_1351,61,10,4.913624703905119,5.66523111834658e-10,0.0065687542160297,Chr3,10762557.0,35,26,10762570,2468,-0.02375068,down-in-warm
1_4411,23,4,4.797503237789139,7.60525098813713e-05,0.0066064178634198,Chr1,24922284.0,10,13,24922285,115,-0.026632953,down-in-warm
1_4193,38,12,4.814664169583029,2.127763494761814e-15,0.0068327128799708,Chr1,24361331.5,26,12,24367447,1,0.028248018,up-in-warm
5_1837,8,2,4.735826482636377,0.0026900777395207,0.006874985964504,Chr5,17545523.0,5,3,17545972,56,-0.0016923491,down-in-warm
1_4690,124,25,5.13409386665305,4.0003854073650166e-25,0.0068860240013038,Chr1,26235171.0,70,54,26247798,2,0.005603147,up-in-warm
3_1100,19,4,4.750132001864445,3.437030184053091e-05,0.0069852335251425,Chr3,9594269.0,16,3,9593995,70,0.14642441,up-in-warm
5_1037,147,24,5.166574390507824,7.005137614846747e-22,0.0076288905579265,Chr5,15056198.0,88,59,15072758,227,0.0048384145,up-in-warm
5_2151,8,5,4.6484118295071,5.461196500000024e-09,0.0078382924965887,Chr5,18837217.0,6,2,18839861,68,0.12191999,up-in-warm
3_2854,14,3,4.612098652507236,0.0003351416785493,0.0084209710841498,Chr3,18858657.0,11,3,18860020,1136,0.08337681,up-in-warm
2_655,2,2,4.554208178647198,0.0001,0.0088642213552773,Chr2,5772966.0,2,0,5772935,1,0.7109527,up-in-warm
1_3013,119,17,4.871645336695362,6.201680080557171e-15,0.0093345192843352,Chr1,21608827.0,60,59,21608827,2078,-0.020752521,down-in-warm
5_1031,43,6,4.604863243451826,4.438223103469513e-06,0.0093726296577144,Chr5,14999875.0,27,16,14995604,414,0.038061127,up-in-warm
2_1925,7,2,4.518943556619243,0.00203104163494,0.0094580093302117,Chr2,17987318.0,5,2,17987318,1,0.1481551,up-in-warm
1_4506,4,2,4.512032145566503,0.00059203,0.0094802872345245,Chr1,25332119.0,4,0,25331796,241,0.23548685,up-in-warm
3_175,6,4,4.50292156693635,1.476100000000005e-07,0.0096561812117216,Chr3,1849045.5,6,0,1849403,64,0.43048647,up-in-warm
