blockdef,model,cls,target,fit,band,band_lo,band_hi,rmse
clq0.9 tile,kendall,snp,sd,deg2_clamp,0.00-0.50,2,12,0.366235238935826
clq0.9 tile,kendall,snp,sd,deg2_clamp,0.50-0.90,12,70,0.5133046213995651
clq0.9 tile,kendall,snp,sd,deg2_clamp,0.90-0.99,70,371,0.946066674650584
clq0.9 tile,kendall,snp,sd,deg2_clamp,0.99-1.00,371,3171,3.655769914063362
clq0.9 tile,kendall,snp,sd,deg5_clamp,0.00-0.50,2,12,0.20361825059042862
clq0.9 tile,kendall,snp,sd,deg5_clamp,0.50-0.90,12,70,0.37220962178520706
clq0.9 tile,kendall,snp,sd,deg5_clamp,0.90-0.99,70,371,0.733000046568832
clq0.9 tile,kendall,snp,sd,deg5_clamp,0.99-1.00,371,3171,1.9871618477482698
clq0.9 tile,kendall,snp,sd,deg7_clamp,0.00-0.50,2,12,0.18733364106706513
clq0.9 tile,kendall,snp,sd,deg7_clamp,0.50-0.90,12,70,0.3581834202431285
clq0.9 tile,kendall,snp,sd,deg7_clamp,0.90-0.99,70,371,0.7462331611237045
clq0.9 tile,kendall,snp,sd,deg7_clamp,0.99-1.00,371,3171,2.1819790320541257
clq0.9 tile,kendall,snp,sd,deg10_clamp,0.00-0.50,2,12,0.18090528812045853
clq0.9 tile,kendall,snp,sd,deg10_clamp,0.50-0.90,12,70,0.35411067284807557
clq0.9 tile,kendall,snp,sd,deg10_clamp,0.90-0.99,70,371,0.7302147800515257
clq0.9 tile,kendall,snp,sd,deg10_clamp,0.99-1.00,371,3171,2.3323976429474502
clq0.9 tile,kendall,snp,sd,deg15_clamp,0.00-0.50,2,12,0.17897173090730709
clq0.9 tile,kendall,snp,sd,deg15_clamp,0.50-0.90,12,70,0.35533413036429595
clq0.9 tile,kendall,snp,sd,deg15_clamp,0.90-0.99,70,371,0.7437024298555666
clq0.9 tile,kendall,snp,sd,deg15_clamp,0.99-1.00,371,3171,11.578496442024242
clq0.9 tile,kendall,snp,sd,deg20_clamp,0.00-0.50,2,12,0.17939194476700585
clq0.9 tile,kendall,snp,sd,deg20_clamp,0.50-0.90,12,70,0.35611600314119557
clq0.9 tile,kendall,snp,sd,deg20_clamp,0.90-0.99,70,371,0.7535287301222533
clq0.9 tile,kendall,snp,sd,deg20_clamp,0.99-1.00,371,3171,479.2388781566443
clq0.9 tile,kendall,snp,sd,deg2,0.00-0.50,2,12,0.366235238935826
clq0.9 tile,kendall,snp,sd,deg2,0.50-0.90,12,70,0.5133046213995651
clq0.9 tile,kendall,snp,sd,deg2,0.90-0.99,70,371,0.946066674650584
clq0.9 tile,kendall,snp,sd,deg2,0.99-1.00,371,3171,4.103767100003068
clq0.9 tile,kendall,snp,sd,deg7,0.00-0.50,2,12,0.18733364106706513
clq0.9 tile,kendall,snp,sd,deg7,0.50-0.90,12,70,0.3581834202431285
clq0.9 tile,kendall,snp,sd,deg7,0.90-0.99,70,371,0.7462331611237045
clq0.9 tile,kendall,snp,sd,deg7,0.99-1.00,371,3171,29.61896856809483
