sample_id	reads_path	reads_path2
MLFH040320180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320180306_CKDL210001610-1a-AK10689-AK9012_HFLJCCCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320180306_CKDL210001610-1a-AK10689-AK9012_HFLJCCCX2_L5_2P_dedup.fq.gz
MLFH040320180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320180321_CKDL210001610-1a-AK34068-AK9012_HFLJCCCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320180321_CKDL210001610-1a-AK34068-AK9012_HFLJCCCX2_L5_2P_dedup.fq.gz
MLFH040320190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320190208_CKDL210001610-1a-AK34069-AK9012_HFLJCCCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320190208_CKDL210001610-1a-AK34069-AK9012_HFLJCCCX2_L5_2P_dedup.fq.gz
MLFH040320190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320190221_CKDL210001610-1a-AK34070-AK9012_HFLJCCCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040320190221_CKDL210001610-1a-AK34070-AK9012_HFLJCCCX2_L5_2P_dedup.fq.gz
MLFH040420180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040420180306_CKDL210001610-1a-AK31398-AK9012_HFLJCCCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040420180306_CKDL210001610-1a-AK31398-AK9012_HFLJCCCX2_L5_2P_dedup.fq.gz
MLFH040420180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040420180321_CKDL210001610-1a-AK7838-AK9012_HFLJCCCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040420180321_CKDL210001610-1a-AK7838-AK9012_HFLJCCCX2_L5_2P_dedup.fq.gz
MLFH040520180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520180306_CKDL210006836-1a-AK34069-AK8944_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520180306_CKDL210006836-1a-AK34069-AK8944_HFH7VCCX2_L7_2P_dedup.fq.gz
MLFH040520180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520180321_CKDL210006836-1a-AK34070-AK8944_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520180321_CKDL210006836-1a-AK34070-AK8944_HFH7VCCX2_L7_2P_dedup.fq.gz
MLFH040520190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520190208_CKDL210006836-1a-AK11638-AK8965_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520190208_CKDL210006836-1a-AK11638-AK8965_HFH7VCCX2_L7_2P_dedup.fq.gz
MLFH040520190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520190221_CKDL210006836-1a-AK33987-AK8965_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040520190221_CKDL210006836-1a-AK33987-AK8965_HFH7VCCX2_L7_2P_dedup.fq.gz
