accA	accB	jaccard_1001g	jaccard_cactus
10002	10006	0.31178367	0.645806
10002	159	0.33158842	0.675138
10002	5772	0.31408566	0.667053
10002	5784	0.2965341	0.659665
10002	5811	0.3029997	0.658736
10002	6150	0.29801726	0.678328
10002	6184	0.29495898	0.658686
10002	6244	0.29053855	0.653514
10002	6898	0.33595437	0.674345
10002	6911	0.2633926	0.587427
10002	6915	0.2858173	0.662673
10002	6929	0.27567482	0.645442
10002	6932	0.2848337	0.666407
10002	6938	0.27629212	0.633622
10002	6939	0.30151802	0.653845
10002	6945	0.2984687	0.661377
10002	6958	0.32162204	0.692161
10002	6963	0.27627498	0.632501
10002	6979	0.31853724	0.682352
10002	7000	0.30728644	0.661938
10002	7002	0.29663742	0.667665
10002	7003	0.31519693	0.661101
10002	7025	0.3042358	0.649972
10002	7063	0.29156482	0.633949
10002	7092	0.382064	0.70369
10002	7127	0.29600757	0.661164
10002	7143	0.28897932	0.665245
10002	7164	0.2907762	0.566262
10002	7186	0.27633655	0.65389
10002	7217	0.3576186	0.691238
10002	7255	0.2702875	0.654952
10002	7288	0.28825736	0.653651
10002	7298	0.30236608	0.662196
10002	7316	0.30911925	0.675223
10002	7323	0.2825484	0.642786
10002	7346	0.31092492	0.67733
10002	7347	0.2902145	0.6596
10002	7372	0.3088503	0.677477
10002	7378	0.31316325	0.670717
10002	7411	0.30625665	0.674944
10002	763	0.28073046	0.632489
10002	765	0.285222	0.62723
10002	766	0.27939525	0.629607
10002	768	0.275826	0.635994
10002	772	0.2741324	0.628358
10002	8214	0.38623965	0.71043
10002	8230	0.2948467	0.655483
10002	8231	0.28343943	0.650429
10002	8247	0.31054157	0.675295
10002	8249	0.3016159	0.66179
10002	8351	0.28463846	0.661895
10002	8354	0.2641683	0.623681
10002	8387	0.28161725	0.672004
10002	9416	0.31646803	0.670301
10002	9470	0.27641684	0.644479
10002	9506	0.30006874	0.656754
10002	9518	0.25693607	0.611429
10002	9537	0.3012948	0.649134
10002	9542	0.24714704	0.586956
10002	9549	0.2453778	0.587969
10002	9555	0.24529701	0.5792
10002	9557	0.27496627	0.62583
10002	9559	0.31712836	0.669732
10002	9564	0.27654734	0.634567
10002	9565	0.31618285	0.664852
10002	9594	0.2710776	0.635063
10002	9600	0.24406461	0.575932
10002	9606	0.28237396	0.59345
10002	9637	0.26175004	0.628169
10002	9653	0.3248096	0.665647
10002	9758	0.28135794	0.633765
10002	9759	0.31907582	0.665153
10002	9764	0.27373192	0.579298
10002	9837	0.2476295	0.58757
10002	9879	0.24277107	0.577521
10002	9910	0.36888605	0.699641
10002	9940	0.30309844	0.603833
10002	9947	0.23810223	0.614426
10002	9992	0.31738788	0.642431
10006	159	0.3212375	0.633817
10006	5772	0.31369486	0.625338
10006	5784	0.32068554	0.635099
10006	5811	0.2993058	0.62414
10006	6150	0.30292737	0.63358
10006	6184	0.3072004	0.624001
10006	6244	0.3112754	0.619268
10006	6898	0.30850747	0.622963
10006	6911	0.30811092	0.575778
10006	6915	0.2819496	0.624298
10006	6929	0.32077792	0.64035
10006	6932	0.30481973	0.634151
10006	6938	0.33316305	0.631668
10006	6939	0.30182052	0.621723
