Assembly_ID	Accession_name	Accession_ID
100042	Cvi-0	6911
100043	BRI-2	9910
100047	Gel-1	7143
100053	IP-Per-0	9879
100108	IP-Alo-0	9506
100130	IP-Mar-1	9555
100158	IP-Hum-2	9549
100208	Altai-5	9758
100226	Stw-0	7347
100282	TueWa1-2	10002
100300	Ei-2	6915
100302	Nok-3	6945
100303	Aa-0	7000
100304	Baa-1	7002
100305	Bs-1	7003
100306	Bl-1	7025
100307	Com-1	7092
100309	Sten-0	7346
100310	Tscha-1	7372
100312	Uk-1	7378
100313	Est	7127
100320	IP-Moa-0	9557
100331	TRÄ 01	6244
100335	Con-0	9837
100395	Kru-3	9416
100516	San-2	8247
100563	Rhen-1	7316
100645	Ct-1	6910
100673	Gy-0	8214
100677	Kondara	6929
100683	Ms-0	6938
100685	Per-1	8354
100691	Sorbo	6963
100692	St-0	8387
100697	Mh-0	7255
100703	Noveg-2	9637
100705	Kar-1	763
100707	Rubezhnoe-1	7323
100709	Zal-1	768
100715	Qar-8a	9764
100725	Dog-4	9992
100727	Toufl-1	9940
100728	Anz-0	9759
100742	UKID107	5811
100745	Kastel-1	10006
100751	Giffo-1	9653
100753	Wl-0	7411
100755	Vimmerby	8249
100758	MAR2-3	159
100759	Ler-1	6932
100760	Pi-0	7298
100761	Can-0	7063
100763	Kn-0	7186
100764	Mt-0	6939
100765	No-0	7275
100766	Oy-0	7288
100778	Hau-0	7164
100784	IP-Orb-10	9565
100787	Sus-1	765
100792	An-1	6898
100800	Ty-1	5784
100805	Tur-4	9470
100838	IP-Cum-1	9537
100852	Ped-0	9947
100861	IP-Vdm-0	9594
100862	IP-Fun-0	9542
100891	IP-Nog-17	9564
100892	IP-Alm-0	9518
100902	IP-Vis-0	9600
100916	Neo-6	772
100954	T980	6150
100958	IP-Mon-5	9559
100959	TBÖ 01	6184
100988	Ra-0	6958
101003	Set-1	5772
101018	Wei-0	6979
101023	Dja-1	766
101024	Algutsrum	8230
101025	Brö1-6	8231
101027	Ost-0	8351
101040	Lm-2	7217
101054	Aitba-1	9606
