blockdef,model,cls,sd,sd_rmse,sd_runnerup,mean,mean_rmse,mean_runnerup
clq0.5 tile,binomial,nonsnp,isotonic,0.477,deg10_clamp (0.482),const,0.467,deg2_clamp (0.546)
clq0.5 tile,binomial,smallindel,deg7_clamp,0.507,deg5_clamp (0.512),const,0.488,isotonic_auto (0.548)
clq0.5 tile,binomial,snp,isotonic,0.737,deg10_clamp (0.756),const,0.754,deg2_clamp (0.810)
clq0.5 tile,binomial,sv,deg2_clamp,0.14,deg5_clamp (0.145),const,0.18,deg2_clamp (0.201)
clq0.9 tile,binomial,nonsnp,deg7_clamp,0.408,isotonic (0.413),deg2_clamp,0.509,deg5_clamp (0.519)
clq0.9 tile,binomial,smallindel,deg7_clamp,0.424,isotonic (0.427),deg2_clamp,0.511,const (0.514)
clq0.9 tile,binomial,snp,deg10_clamp,0.732,isotonic (0.747),deg2_clamp,0.74,const (0.766)
clq0.9 tile,binomial,sv,isotonic,0.166,deg2_clamp (0.168),isotonic_auto,0.189,deg5_clamp (0.198)
clq0.5 tile,kendall,nonsnp,isotonic,0.58,deg10_clamp (0.607),const,0.446,isotonic_auto (0.515)
clq0.5 tile,kendall,smallindel,deg5_clamp,0.576,isotonic (0.585),const,0.457,isotonic_auto (0.489)
clq0.5 tile,kendall,snp,deg10_clamp,0.803,isotonic (0.804),const,0.783,deg2_clamp (0.841)
clq0.5 tile,kendall,sv,deg2_clamp,0.157,isotonic (0.157),const,0.19,isotonic_auto (0.214)
clq0.9 tile,kendall,nonsnp,deg5_clamp,0.542,deg7_clamp (0.551),const,0.495,isotonic_auto (0.508)
clq0.9 tile,kendall,smallindel,deg5_clamp,0.56,isotonic (0.567),const,0.471,isotonic_auto (0.513)
clq0.9 tile,kendall,snp,deg5_clamp,0.824,isotonic (0.846),deg2_clamp,0.67,deg5_clamp (0.703)
clq0.9 tile,kendall,sv,deg2_clamp,0.133,isotonic (0.136),const,0.169,deg2_clamp (0.209)
clq0.5 tile,lfmm,nonsnp,isotonic,0.617,deg5_clamp (0.639),const,0.464,isotonic_auto (0.520)
clq0.5 tile,lfmm,smallindel,isotonic,0.654,deg5_clamp (0.673),const,0.469,isotonic_auto (0.519)
clq0.5 tile,lfmm,snp,isotonic,0.922,deg5_clamp (0.968),const,0.773,deg2_clamp (0.900)
clq0.5 tile,lfmm,sv,isotonic,0.168,deg2_clamp (0.169),const,0.208,isotonic_auto (0.242)
clq0.9 tile,lfmm,nonsnp,deg5_clamp,0.569,deg7_clamp (0.570),const,0.493,deg2_clamp (0.503)
clq0.9 tile,lfmm,smallindel,isotonic,0.564,deg5_clamp (0.569),const,0.515,deg2_clamp (0.523)
clq0.9 tile,lfmm,snp,deg5_clamp,0.852,isotonic (0.906),const,0.668,deg2_clamp (0.726)
clq0.9 tile,lfmm,sv,deg2_clamp,0.191,deg7_clamp (0.192),const,0.233,deg2_clamp (0.243)
