chrom,pos,ref_len,alt_len,sv_size,p0,beta,z_emp,p_perm,stat,gene,gene_name,n_genes,genes_all,flower_locus
Chr1,29472366,1,207,206,0.30162624,0.11845582,3.9263322,1.2812949e-06,dp,AT1G78340,AT1G78340,1,AT1G78340,
Chr1,27733880,1,620,619,0.016345,0.03812725,3.7954752,3.5893609e-06,dp,AT1G73730,AT1G73730,2,AT1G73730;AT1G73740,
Chr1,22311592,1,9570,9569,0.02431875,0.02271697,3.7749882,4.0839464e-06,dp,AT1G60560,AT1G60560,2,AT1G60560;AT1G60570,
Chr1,12689519,1,1084,1083,0.01033375,0.021139652,3.7445886,5.133856e-06,dp,AT1G34630,AT1G34630,2,AT1G34630;AT1G34640,
Chr1,12689014,1,3480,3479,0.01048625,0.021151928,3.744071,5.1454253e-06,dp,AT1G34630,AT1G34630,2,AT1G34630;AT1G34640,
Chr1,16281463,1,858,857,0.0145525,0.02063919,3.7404633,5.249549e-06,dp,,,0,,
Chr5,15176294,8280,345,7935,0.03587125,0.018290894,3.7268877,5.7470265e-06,dp,AT5G38030,AT5G38030,2,AT5G38030;AT5G38040,
Chr1,22809455,24,1147,1123,0.023855,0.022995468,3.7235553,5.908996e-06,dp,AT1G61760,AT1G61760,2,AT1G61760;AT1G61770,
Chr1,9842867,1,59,58,0.01722125,0.017429586,3.7198384,6.0391503e-06,dp,AT1G28170,AT1G28170,2,AT1G28170;AT1G28180,
Chr1,8283906,1,238,237,0.016495,0.030395271,3.7110186,6.2907816e-06,dp,AT1G23340,AT1G23340,1,AT1G23340,
Chr5,10655877,1,490,489,0.1293475,-0.045740884,-3.7024672,6.571336e-06,dp,AT5G28642,AT5G28642,1,AT5G28642,
Chr3,9680669,1,118,117,0.00851625,0.0011973433,3.6748798,7.499769e-06,dp,AT3G26440,AT3G26440,3,AT3G26440;AT3G26445;AT3G26450,
Chr3,3551645,1,404,403,0.00822625,0.001087101,3.6690948,7.817923e-06,dp,AT3G11325,AT3G11325,2,AT3G11325;AT3G11330,
Chr1,30189881,1,89,88,0.78655875,0.051925678,3.6621664,8.060877e-06,dp,AT1G80290,AT1G80290,2,AT1G80290;AT1G80300,
Chr3,19010522,1,1053,1052,0.00504125,0.00039994018,3.6596818,8.153432e-06,dp,AT3G51171,AT3G51171,1,AT3G51171,
Chr3,11925812,1,54,53,0.5912213,0.075239226,3.6502562,8.47737e-06,dp,AT3G30300,AT3G30300,1,AT3G30300,
Chr1,7963377,200,1,199,0.14470126,-0.052907094,-3.6463823,8.610417e-06,dp,AT1G22540,AT1G22540,1,AT1G22540,
Chr1,10015778,1,97,96,0.0141975,0.01991281,3.6456494,8.633556e-06,dp,AT1G28480,AT1G28480,2,AT1G28480;AT1G28490,
Chr4,9415900,1,94,93,0.00688125,0.00062739255,3.6440907,8.705863e-06,dp,AT4G16745,AT4G16745,1,AT4G16745,
Chr5,13816917,201,1,200,0.26564375,0.09807258,3.6399333,8.862048e-06,dp,,,0,,
Chr3,6012441,1,6018,6017,0.00557375,0.0006727585,3.634877,9.240941e-06,dp,AT3G17570,AT3G17570,1,AT3G17570,
Chr4,18256182,1,247,246,0.0228775,0.018649282,3.6323528,9.371095e-06,dp,AT4G39200,AT4G39200,1,AT4G39200,
Chr4,3170226,754,1,753,0.00582625,0.0010248849,3.6143253,1.0172266e-05,dp,,,0,,
Chr4,16277740,1,58,57,0.0417575,-0.022985278,-3.611408,1.0319774e-05,dp,AT4G33960,AT4G33960,1,AT4G33960,
Chr4,3635814,1,64,63,0.00631125,0.0011836499,3.6107957,1.0348697e-05,dp,,,0,,
