ID	name	weight_g	seeds	seed_prop
159	MAR2-3	0.3004	16638.0	0.0022126530026012436
265	PYL-6	0.325	18000.0	0.0023937825487932675
763	Kar-1	0.1827	10119.0	0.0013457047561799486
765	Sus-1	0.2994	16582.0	0.0022052056791161093
766	Dja-1	0.3004	16638.0	0.0022126530026012436
768	Zal-1	0.3099	17164.0	0.002282604648193758
772	Neo-6	0.3091	17120.0	0.0022767531797411524
5151	UKSE06-325	0.2959	16389.0	0.00217953901067627
5165	UKSE06-362	0.3171	17563.0	0.002335666828025342
5768	UKID63	0.3076	17037.0	0.0022657151824328277
5772	Set-1	0.3059	16942.0	0.0022530813300919742
5784	Ty-1	0.3011	16677.0	0.0022178395314569623
5811	UKID107	0.3194	17690.0	0.0023525562937862727
6013	Eden-9	0.2985	16533.0	0.0021986892710666164
6025	Gro-3	0.2282	12639.0	0.001680834313011006
6040	Kni-1	0.3056	16926.0	0.002250953523381936
6073	OMo1-7	0.1625	9000.0	0.0011968912743966337
6074	Or-1	0.2099	11625.0	0.0015459845627623188
6108	T480	0.3043	16854.0	0.002241378393186763
6150	T980	0.2899	16056.0	0.0021352540335235945
6177	TAL	0.3388	18765.0	0.0024955183071169815
6180	TAL 07	0.2993	16577.0	0.002204540739519222
6184	TBO	0.3013	16688.0	0.002219302398570114
6188	TDr-1	0.2983	16522.0	0.002197226403953465
6195	TDr-9	0.31	17170.0	0.0022834025757100225
6209	TEDEN	0.3003	16632.0	0.0022118550750849795
6216	TFA	0.3043	16854.0	0.002241378393186763
6243	Tottarp-2	0.3053	16909.0	0.00224869272875252
6244	TRA 01	0.3166	17535.0	0.002331943166282775
6898	An-1	0.304	16837.0	0.002239117598557347
6911	Cvi-0	0.2999	16610.0	0.0022089293408586765
6915	Ei-2	0.3037	16821.0	0.0022369897918473086
6929	Kondara	0.3001	16621.0	0.002210392207971828
6932	Ler-1	0.1915	10606.0	0.0014104698729167442
6938	Ms-0	0.2984	16527.0	0.002197891343550352
6939	Mt-0	0.3065	16976.0	0.002257602919350806
6940	Mz-0	0.3181	17618.0	0.0023429811635910995
6945	Nok-3	0.3009	16666.0	0.002216376664343811
6958	Ra-0	0.303	16782.0	0.00223180326299159
6961	Se-0	0.3027	16765.0	0.002229542468362174
6963	Sorbo	0.3031	16787.0	0.002232468202588477
6979	Wei-0	0.3018	16715.0	0.0022228930723933037
6987	Ak-1	0.3034	16804.0	0.0022347289972178925
7000	Aa-0	0.2086	11553.0	0.0015364094325671456
7002	Baa-1	0.3011	16677.0	0.0022178395314569623
7003	Bs-1	0.3029	16776.0	0.0022310053354753254
7008	Benk-1	0.3019	16721.0	0.0022236909999095683
7013	Bd-0	0.3016	16704.0	0.002221430205280152
7025	Bl-1	0.3065	16976.0	0.002257602919350806
7028	Bch-1	0.2962	16405.0	0.0021816668173863085
7031	Bsch-0	0.3021	16732.0	0.00222515386702272
7036	Bu-0	0.305	16893.0	0.002246564922042482
7062	Ca-0	0.3017	16710.0	0.002222228132796417
7063	Can-0	0.2978	16494.0	0.0021935027422108977
7067	Ct-1	0.2982	16516.0	0.0021964284764372003
7071	Chat-1	0.3195	17696.0	0.002353354221302537
7077	Co-1	0.3015	16699.0	0.0022207652656832653
7092	Com-1	0.309	17114.0	0.0022759552522248878
7103	Dra-0	0.3017	16710.0	0.002222228132796417
7106	Dr-0	0.3138	17380.0	0.0023113300387792774
7125	Er-0	0.3083	17075.0	0.002270768723369169
7126	Es-0	0.3204	17746.0	0.002360003617271407
7127	Est	0.2984	16527.0	0.002197891343550352
7143	Gel-1	0.3164	17524.0	0.0023304802991696233
7164	Hau-0	0.2087	11559.0	0.00153720736008341
7165	Hn-0	0.295	16339.0	0.0021728896147074
7186	Kn-0	0.3477	19258.0	0.0025610813513700413
7203	Krot-0	0.303	16782.0	0.00223180326299159
7209	La-0	0.3033	16798.0	0.0022339310697016283
7217	Lm-2	0.3011	16677.0	0.0022178395314569623
7218	Le-0	0.3067	16987.0	0.0022590657864639575
7244	Mnz-0	0.2996	16594.0	0.002206801534148638
7255	Mh-0	0.302	16726.0	0.002224355939506455
7268	Np-0	0.301	16671.0	0.002217041603940698
7273	No-0	0.3157	17485.0	0.0023252937703139047
7276	Ob-0	0.306	16948.0	0.002253879257608239
7282	Or-0	0.3059	16942.0	0.0022530813300919742
7287	Ove-0	0.3031	16787.0	0.002232468202588477
7288	Oy-0	0.3082	17070.0	0.002270103783772282
7296	Petergof	0.3075	17031.0	0.0022649172549165635
7298	Pi-0	0.3017	16710.0	0.002222228132796417
7316	Rhen-1	0.3122	17291.0	0.002299494113954688
7323	Rubezhnoe-1	0.314	17391.0	0.002312792905892429
7333	Sei-0	0.2643	14638.0	0.0019466771638464362
7346	Ste-0	0.3212	17790.0	0.002365855085724013
7347	Stw-0	0.3094	17136.0	0.0022788809864511908
7353	Tha-1	0.3055	16920.0	0.0022501555958656717
7372	Tscha-1	0.2961	16400.0	0.0021810018777894216
7378	Uk-1	0.3023	16743.0	0.0022266167341358713
7384	Ven-1	0.2999	16610.0	0.0022089293408586765
7394	Wa-1	0.2997	16599.0	0.002207466473745525
7404	Wc-1	0.3123	17297.0	0.0023002920414709528
7411	Wl-0	0.3026	16760.0	0.002228877528765287
