founder	side	K_f	max_jacc_other_founder	nearest_neighbor_founder	n_cactus_only_kmers	n_pg_only_kmers	n_mixed_kmers	frac_cactus_only	frac_pg_only	h_filt2	h_hf	err	accession_name
10002	cactus	2245446	2.799203852246282e-05	9992	9628	0	2235818	0.0042877895972559575	0.0	0.01296903921256304	0.006943	0.00602603921256304	TueWa1-2
10006	cactus	2118324	2.8165292253834772e-05	7008	17238	0	2101086	0.008137565358273806	0.0	0.0018359547318836514	0.003456	-0.0016200452681163484	Kastel-1
159	cactus	2233855	2.884774387928105e-05	9723	11537	0	2222318	0.005164614534067789	0.0	0.004996305053129875	0.003859	0.001137305053129875	MAR2-3
5784	cactus	2232220	2.7951869585593244e-05	9526	15943	0	2216277	0.007142217164974779	0.0	0.0028624154176675335	0.003236	-0.0003735845823324667	Ty-1
5811	cactus	2268600	2.8399167971463084e-05	9518	12392	0	2256208	0.005462399717887684	0.0	0.005732117969772352	0.003145	0.002587117969772352	UKID107
6150	cactus	2236625	2.787836291116125e-05	9544	6447	0	2230178	0.002882468004247471	0.0	0.0032672774590704126	0.002833	0.0004342774590704126	T980
6184	cactus	2274493	2.81331028043387e-05	7013	5350	0	2269143	0.0023521725501023743	0.0	0.012696638499764445	0.004632	0.008064638499764444	TBÖ 01
6244	cactus	2258986	2.8297784147671875e-05	9698	4901	0	2254085	0.002169557491724163	0.0	0.009392989164112305	0.005027	0.004365989164112304	TRÄ 01
6898	cactus	2253101	2.800519886675356e-05	6911	10755	0	2242346	0.004773421164874544	0.0	0.00280199352943762	0.003124	-0.00032200647056238	An-1
6911	cactus	2103355	3.0042292337460982e-05	9966	75467	0	2027888	0.035879345141452586	0.0	0.0022831522583387485	0.004329	-0.002045847741661252	Cvi-0
6915	cactus	2300817	2.853791497948416e-05	7333	25878	0	2274939	0.01124730910802554	0.0	0.0035938913973439647	0.002337	0.0012568913973439646	Ei-2
6929	cactus	2261910	2.7785508225613035e-05	9632	19221	0	2242689	0.008497685584307068	0.0	0.002166694313286524	0.004302	-0.002135305686713476	Kondara
6932	cactus	2279634	2.82848218707222e-05	9837	879	0	2278755	0.0003855882128446935	0.0	0.009868551403852259	0.00848	0.001388551403852259	Ler-1
6938	cactus	2275290	2.9850354204302987e-05	9507	30242	0	2245048	0.013291492513042293	0.0	0.010762919215573584	0.005317	0.005445919215573585	Ms-0
6939	cactus	2271375	2.7840846575553597e-05	7404	7694	0	2263681	0.003387375488415607	0.0	0.00489675550445985	0.002887	0.00200975550445985	Mt-0
6945	cactus	2265437	2.8944681471757282e-05	100002	10807	0	2254630	0.004770382049909134	0.0	0.0057648292824962295	0.003595	0.0021698292824962294	Nok-3
6958	cactus	2231056	2.7558319144626517e-05	9726	12841	0	2218215	0.0057555704563220286	0.0	0.009902729084161477	0.005909	0.003993729084161477	Ra-0
6963	cactus	2269341	2.84359977340764e-05	9596	27636	0	2241705	0.012177984710098658	0.0	0.005705096107400239	0.004391	0.0013140961074002387	Sorbo
6979	cactus	2239606	2.8850666677570855e-05	9659	12842	0	2226764	0.0057340442917191686	0.0	0.003966917802188173	0.00393	3.6917802188172685e-05	Wei-0
7000	cactus	2286557	2.7980252159808987e-05	7276	14543	0	2272014	0.006360217567285662	0.0	0.009711605834392633	0.00431	0.005401605834392633	Aa-0
7002	cactus	2246467	2.9023715346369477e-05	9736	8037	0	2238430	0.0035776176547440935	0.0	0.007399619126884077	0.005695	0.0017046191268840763	Baa-1
7003	cactus	2274317	2.807233466997434e-05	9910	17690	0	2256627	0.007778159333109677	0.0	0.008862769457971252	0.00362	0.0052427694579712525	Bs-1
7025	cactus	2242606	3.217056321975252e-05	9977	7641	0	2234965	0.003407196805858898	0.0	0.00830026638188528	0.0044	0.003900266381885279	Bl-1
7063	cactus	2192375	3.103663124266275e-05	9977	26209	0	2166166	0.011954615428473687	0.0	0.0015968790734658023	0.001992	-0.00039512092653419756	Can-0
7092	cactus	2243782	2.8046881921291545e-05	9560	11953	0	2231829	0.005327166364646833	0.0	0.005778129036260898	0.003557	0.002221129036260898	Com-1
7127	cactus	2248575	2.8306550581577027e-05	7125	7274	0	2241301	0.0032349376827546334	0.0	0.005204455675755371	0.004246	0.0009584556757553713	Est
7143	cactus	2266896	2.783167493508771e-05	9857	8518	0	2258378	0.0037575609997106173	0.0	0.010660005263663137	0.004785	0.0058750052636631364	Gel-1
7164	cactus	2085750	2.9758425354178402e-05	10014	78346	0	2007404	0.03756250749131008	0.0	0.0008245679696009102	0.002083	-0.00125843203039909	Hau-0
7186	cactus	2228563	2.8676845817922352e-05	9595	15186	0	2213377	0.006814256541098457	0.0	0.011004758574092737	0.008514	0.002490758574092736	Kn-0
7217	cactus	2249479	2.821254706009586e-05	7276	12316	0	2237163	0.0054750455549929565	0.0	0.00756490096579838	0.003365	0.00419990096579838	Lm-2
7255	cactus	2266258	2.8493406533813862e-05	7164	7741	0	2258517	0.0034157629007818173	0.0	0.006993629952187987	0.005234	0.0017596299521879868	Mh-0
7288	cactus	2268363	2.8302321749010445e-05	9719	14557	0	2253806	0.006417403211038092	0.0	0.007974811009045938	0.00335	0.004624811009045937	Oy-0
7298	cactus	2287954	2.819810970530089e-05	6040	6706	0	2281248	0.0029310029834515904	0.0	0.006214161284155934	0.003153	0.003061161284155934	Pi-0
7316	cactus	2270431	2.8816723579695737e-05	9716	10660	0	2259771	0.004695143785475093	0.0	0.006811704445367911	0.003227	0.003584704445367911	Rhen-1
7323	cactus	2220777	2.889276404025228e-05	9978	12848	0	2207929	0.00578536251050871	0.0	0.004793996617778337	0.005016	-0.00022200338222166244	Rubezhnoe-1
7346	cactus	2237901	2.8340186674801268e-05	8231	7126	0	2230775	0.0031842337976523537	0.0	0.0035794028101574556	0.002845	0.0007344028101574558	Sten-0
7347	cactus	2267850	2.8346483834113656e-05	9741	6771	0	2261079	0.0029856471988888153	0.0	0.0027704023650867307	0.003455	-0.0006845976349132694	Stw-0
7372	cactus	2234896	2.894625159717211e-05	9764	10665	0	2224231	0.004772034134921714	0.0	0.002665735896692499	0.002951	-0.0002852641033075009	Tscha-1
7378	cactus	2276526	2.7067154931734654e-05	7347	12279	0	2264247	0.0053937446793930754	0.0	0.005591235854178699	0.003326	0.002265235854178699	Uk-1
7411	cactus	2260140	2.9041582057333113e-05	9719	10795	0	2249345	0.004776252798499208	0.0	0.007104466200614604	0.005225	0.0018794662006146046	Wl-0
763	cactus	2286477	2.8286092218451486e-05	9518	31873	0	2254604	0.013939785967669913	0.0	0.009123448543314079	0.005289	0.0038344485433140785	Kar-1
765	cactus	2287123	2.790461192924357e-05	9594	38578	0	2248545	0.01686747936162594	0.0	0.008253784997435096	0.004009	0.004244784997435096	Sus-1
766	cactus	2274077	2.8066848997233856e-05	9781	36304	0	2237773	0.015964279133907956	0.0	0.0035407689835770624	0.004413	-0.0008722310164229379	Dja-1
768	cactus	2277355	2.8605362446835133e-05	9659	29650	0	2247705	0.01301948971504223	0.0	0.003506865344971233	0.005378	-0.001871134655028767	Zal-1
772	cactus	2286765	2.8308348800762498e-05	9597	23841	0	2262924	0.010425644961331838	0.0	0.01148980074755844	0.006149	0.00534080074755844	Neo-6
8214	cactus	2247494	2.8678351244582626e-05	9743	8088	0	2239406	0.003598674790677973	0.0	0.00744788259731365	0.004264	0.00318388259731365	Gy-0
8230	cactus	2219612	2.8529753136121793e-05	9596	20015	0	2199597	0.009017341769642622	0.0	0.004365945805390686	0.004375	-9.054194609314434e-06	Algutsrum
8231	cactus	2243495	2.8490885651716475e-05	9739	11065	0	2232430	0.004932036844298739	0.0	0.002706397445613435	0.002536	0.00017039744561343512	Brö1-6
8247	cactus	2238667	2.829408783625755e-05	9739	8425	0	2230242	0.0037634002734663083	0.0	0.001690913678374285	0.002491	-0.0008000863216257152	San-2
8249	cactus	2237591	2.856601814126449e-05	6911	13828	0	2223763	0.006179860394504626	0.0	0.014641354842353344	0.010209	0.0044323548423533445	Vimmerby
8351	cactus	2256614	2.8595381255863756e-05	9600	9728	0	2246886	0.0043108834740899415	0.0	0.007764613804795299	0.004164	0.003600613804795299	Ost-0
8354	cactus	2284308	2.882072623237539e-05	100002	32107	0	2252201	0.014055460121839962	0.0	0.006202008919953121	0.003508	0.002694008919953121	Per-1
8387	cactus	2302036	2.9423615108741614e-05	9507	26105	0	2275931	0.01133996166871413	0.0	0.005693536064432279	0.002368	0.003325536064432279	St-0
9416	cactus	2244223	2.8629898178609182e-05	9507	8997	0	2235226	0.004008959893914286	0.0	0.002698573869303075	0.00217	0.0005285738693030749	Kru-3
