block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir
5_918,789,162,8.216774982587767,6.192552238133971e-155,0.0,Chr5,13181678.0,410,379,13135222,1,3.173762e-05,up-in-warm
2_729,865,107,8.394629454816219,8.385795001339275e-79,0.0,Chr2,6685325.0,448,417,6633974,1,-0.011394446,down-in-warm
5_775,692,96,8.597026715697014,1.1934586908080043e-75,0.0,Chr5,9181108.0,388,304,9220948,1,0.0052620308,up-in-warm
5_891,585,105,11.157732925904348,1.329356164732835e-94,7.042255667499831e-12,Chr5,10645208.0,291,294,10761339,1,0.00092187925,up-in-warm
1_2134,537,128,9.686664009700712,8.194736943494921e-132,5.608898851039434e-06,Chr1,14232768.0,283,254,14042187,67,0.027493242,up-in-warm
3_1389,431,64,13.282536888258974,6.130222776670863e-53,8.111597603832621e-06,Chr3,11087581.0,204,227,11093912,666,-0.026005123,down-in-warm
5_1096,8,5,7.489132973829868,5.461196500000024e-09,1.3103978158790495e-05,Chr5,15320037.0,1,7,15318650,712,-0.13910717,down-in-warm
3_1882,479,97,11.285280353984469,6.637377295836992e-93,2.7734334682283368e-05,Chr3,16296198.0,247,232,16301748,4014,-0.008369736,down-in-warm
5_742,15,3,7.363131026143886,0.0004158027018755,5.250655711508401e-05,Chr5,8730160.0,6,9,8730523,1,-0.15672727,down-in-warm
5_602,513,75,9.696065700763754,3.2092034904433504e-61,5.86431060486392e-05,Chr5,7541169.0,277,236,7486034,1,-0.002673829,down-in-warm
1_100,42,11,8.549458717107333,3.2184137998363965e-13,6.253756282681433e-05,Chr1,550228.0,23,19,550823,1,0.025348272,up-in-warm
5_923,558,78,7.47530252763328,4.593760114554039e-62,0.000111014217663,Chr5,13573327.0,284,274,13562524,2915,-0.018618343,down-in-warm
1_417,61,19,8.701414037871167,1.9893315514481522e-23,0.0002797539853368,Chr1,3500882.0,37,24,3484064,1,0.028310658,up-in-warm
4_955,10,4,6.359623482227814,2.001276156940847e-06,0.0003885822156635,Chr4,7863626.0,10,0,7863539,1,0.53590256,up-in-warm
2_591,590,97,5.357631938136895,1.0696057086897193e-83,0.0003922875138534,Chr2,3020890.0,351,239,3174770,1,0.018651824,up-in-warm
1_4385,14,4,6.430425926505011,9.238553999224518e-06,0.0005155932066238,Chr1,24872402.0,5,9,24871534,535,0.009504103,up-in-warm
3_358,5,3,5.865415110263299,9.850600000000027e-06,0.0007293082007724,Chr3,3358191.0,3,2,3367934,1,0.022260273,up-in-warm
3_1194,158,47,11.097162852880007,1.3639397230261164e-54,0.000794477908199,Chr3,10245155.0,71,87,10268936,1,-0.019512916,down-in-warm
