cls,regime,rep,blocks,support_to,p0,nan,bonf,fdr,bonf_past_support,n_past_support
snp,upstream_nocap,0,56846,3170.58,0,18,29,188,0,10
snp,oldprod_cap,0,56846,1876.84,0,0,7,54,0,32
snp,proposed_nocap,0,56846,3170.58,0,0,6,64,0,10
snp,proposed_cap,0,56846,1876.84,0,0,6,64,0,32
snp,upstream_nocap,1,56846,3170.58,0,18,28,169,0,10
snp,oldprod_cap,1,56846,1876.84,0,0,4,40,0,32
snp,proposed_nocap,1,56846,3170.58,0,0,6,44,0,10
snp,proposed_cap,1,56846,1876.84,0,0,6,43,0,32
snp,upstream_nocap,2,56846,3170.58,0,18,23,169,0,10
snp,oldprod_cap,2,56846,1876.84,0,0,8,62,0,32
snp,proposed_nocap,2,56846,3170.58,0,0,9,59,0,10
snp,proposed_cap,2,56846,1876.84,0,0,9,59,0,32
snp,upstream_nocap,3,56846,3170.58,1,18,27,163,0,10
snp,oldprod_cap,3,56846,1876.84,0,0,10,63,0,32
snp,proposed_nocap,3,56846,3170.58,0,0,10,62,0,10
snp,proposed_cap,3,56846,1876.84,0,0,10,62,0,32
snp,upstream_nocap,4,56846,3170.58,0,14,26,149,0,10
snp,oldprod_cap,4,56846,1876.84,0,0,7,54,0,32
snp,proposed_nocap,4,56846,3170.58,0,0,8,58,0,10
snp,proposed_cap,4,56846,1876.84,0,0,8,58,0,32
snp,upstream_nocap,5,56846,3170.58,0,18,34,182,0,10
snp,oldprod_cap,5,56846,1876.84,0,0,8,64,0,32
snp,proposed_nocap,5,56846,3170.58,0,0,7,65,0,10
snp,proposed_cap,5,56846,1876.84,0,0,7,65,0,32
snp,upstream_nocap,6,56846,3170.58,0,20,27,192,0,10
snp,oldprod_cap,6,56846,1876.84,0,0,8,63,0,32
snp,proposed_nocap,6,56846,3170.58,0,0,8,61,0,10
snp,proposed_cap,6,56846,1876.84,0,0,8,61,0,32
snp,upstream_nocap,7,56846,3170.58,1,17,38,236,0,10
snp,oldprod_cap,7,56846,1876.84,0,0,9,94,0,32
snp,proposed_nocap,7,56846,3170.58,0,0,10,97,0,10
snp,proposed_cap,7,56846,1876.84,0,0,10,97,0,32
snp,upstream_nocap,8,56846,3170.58,2,14,38,175,0,10
snp,oldprod_cap,8,56846,1876.84,0,0,12,79,0,32
snp,proposed_nocap,8,56846,3170.58,0,0,12,66,0,10
snp,proposed_cap,8,56846,1876.84,0,0,12,66,0,32
snp,upstream_nocap,9,56846,3170.58,0,16,20,116,0,10
snp,oldprod_cap,9,56846,1876.84,0,0,10,30,0,32
snp,proposed_nocap,9,56846,3170.58,0,0,8,31,0,10
snp,proposed_cap,9,56846,1876.84,0,0,8,31,0,32
snp,upstream_nocap,10,56846,3170.58,0,20,35,179,0,10
snp,oldprod_cap,10,56846,1876.84,0,0,8,109,0,32
snp,proposed_nocap,10,56846,3170.58,0,0,6,86,0,10
snp,proposed_cap,10,56846,1876.84,0,0,6,85,0,32
snp,upstream_nocap,11,56846,3170.58,1,20,18,183,0,10
snp,oldprod_cap,11,56846,1876.84,0,0,6,30,0,32
snp,proposed_nocap,11,56846,3170.58,0,0,9,39,0,10
snp,proposed_cap,11,56846,1876.84,0,0,9,39,0,32
snp,upstream_nocap,12,56846,3170.58,0,17,9,70,0,10
snp,oldprod_cap,12,56846,1876.84,0,0,5,18,0,32
snp,proposed_nocap,12,56846,3170.58,0,0,4,15,0,10
snp,proposed_cap,12,56846,1876.84,0,0,4,15,0,32
snp,upstream_nocap,13,56846,3170.58,1,16,38,182,0,10
snp,oldprod_cap,13,56846,1876.84,0,0,16,80,0,32
snp,proposed_nocap,13,56846,3170.58,0,0,19,68,0,10
snp,proposed_cap,13,56846,1876.84,0,0,19,68,0,32
