regime	weight	miss_cond	cls	n	MAE	RMSE	R2	bias	outlier
n50_g0	uniform	full	ALL	1952086	0.006078506215636507	0.010335488707034081	0.9975172639365831	-0.0012538264266077428	0.0002725289766946743
n50_g0	uniform	full	SNP	1434049	0.006160227360925606	0.010518564122737028	0.9975722962007865	-0.0012794964115996042	0.0003117048301696804
n50_g0	uniform	full	indel	481154	0.006014975074302611	0.009982357561551287	0.9973036867236038	-0.0012326226078241066	0.0001641885965823832
n50_g0	uniform	full	SV	36883	0.0037298940120922917	0.007209639699299879	0.9968894281074523	-0.0005323635823550149	0.00016267657186237562
n50_g0	uniform	miss_le_90	ALL	1946419	0.005999499104466717	0.009487050279008398	0.9978555509570802	-0.0012447355819538352	3.493595161165196e-05
n50_g0	uniform	miss_le_90	SNP	1429696	0.0060737520113492705	0.009564583599393356	0.9979404059075623	-0.001264575841569118	3.9868615425936705e-05
n50_g0	uniform	miss_le_90	indel	479958	0.00595825318934365	0.009450530312598038	0.9975339716497946	-0.0012396008504806677	2.2918672050471083e-05
n50_g0	uniform	miss_le_90	SV	36765	0.003650450361702706	0.006449090070335528	0.9973478854737224	-0.0005402317233238138	0.0
n50_g0	uniform	miss_le_50	ALL	1904711	0.0058927322038256754	0.009243670979848963	0.9978734985082225	-0.0012382957882193157	0.0
n50_g0	uniform	miss_le_50	SNP	1396178	0.005956781601220619	0.00929896698050528	0.9979590680962366	-0.0012577963651604603	0.0
n50_g0	uniform	miss_le_50	indel	472594	0.005882170696500589	0.009272656089354242	0.9975600843650381	-0.0012339067916731922	0.0
n50_g0	uniform	miss_le_50	SV	35939	0.0035433887450958567	0.0062092840013182075	0.9973086524924204	-0.000538441505161524	0.0
n50_g0	inv_mb	full	ALL	1952086	0.008541308695461677	0.01432421484180798	0.995231188331839	-0.0019468481479868204	0.00046463116891366465
n50_g0	inv_mb	full	SNP	1434049	0.008665658843173425	0.014572789120698825	0.9953401907291457	-0.00199121263608008	0.000524389333976733
n50_g0	inv_mb	full	indel	481154	0.008416617345691817	0.013834893761153634	0.9948208825096294	-0.0018987012853369204	0.00029928047984636937
n50_g0	inv_mb	full	SV	36883	0.005333097235745465	0.01027859041700905	0.993677625146726	-0.0008500069410839684	0.00029824038174768865
n50_g0	inv_mb	miss_le_90	ALL	1946419	0.008391290600353263	0.0131440041974351	0.9958836840240822	-0.0019389147026878581	0.00010223903486351089
n50_g0	inv_mb	miss_le_90	SNP	1429696	0.008506318173446667	0.01327528389055834	0.996032315444918	-0.0019713208558938414	0.00011960584627781011
n50_g0	inv_mb	miss_le_90	indel	479958	0.008296798469238975	0.013026529970767605	0.995314637554842	-0.001924143727149043	5.833843794665366e-05
n50_g0	inv_mb	miss_le_90	SV	36765	0.005151736489759282	0.008833234813079276	0.9950245205126418	-0.0008715544487420103	0.0
n50_g0	inv_mb	miss_le_50	ALL	1904711	0.008228684729318515	0.012786869706771252	0.9959308358090441	-0.0019374074434783037	0.0
n50_g0	inv_mb	miss_le_50	SNP	1396178	0.00832646399738214	0.012877797623593455	0.9960858064671271	-0.001970699641103785	0.0
n50_g0	inv_mb	miss_le_50	indel	472594	0.008185778566443924	0.012788161865983194	0.9953593079085112	-0.001920798076793189	0.0
n50_g0	inv_mb	miss_le_50	SV	35939	0.004994313495033251	0.008509474072130908	0.9949453374416993	-0.0008624652676479593	0.0
n231_g0	uniform	full	ALL	1955156	0.00729289698840732	0.012382772949690281	0.9962297502472215	-0.0014310890408666616	0.0011753537825114721
n231_g0	uniform	full	SNP	1436451	0.007368153188238929	0.012477115857830488	0.996399094209613	-0.001435879345580601	0.0011563220743345927
n231_g0	uniform	full	indel	481741	0.0072444824830350755	0.01222888765272063	0.995658997299639	-0.0014828559668747313	0.0011458439285840316
n231_g0	uniform	full	SV	36964	0.004999352153654908	0.010561743280306823	0.9930360273220391	-0.0005702707122578724	0.0022995346823936804
n231_g0	uniform	miss_le_90	ALL	1946419	0.007054568385735292	0.010558251547116154	0.99715901267358	-0.001403488894592943	1.2330335862935986e-05
n231_g0	uniform	miss_le_90	SNP	1429696	0.007131058809379748	0.01065324614997092	0.997276087773138	-0.0014052331415927584	1.3289538475312234e-05
n231_g0	uniform	miss_le_90	indel	479958	0.007015744387637667	0.010489039223898846	0.9967121695842913	-0.001454896606836848	1.0417578204759583e-05
n231_g0	uniform	miss_le_90	SV	36765	0.004586890859722562	0.007220572194182957	0.9963646505208612	-0.0006645446347858017	0.0
n231_g0	uniform	miss_le_50	ALL	1904711	0.006882610876182002	0.010170676537058963	0.9972482258432924	-0.0013972538812353683	0.0
n231_g0	uniform	miss_le_50	SNP	1396178	0.006942853539862754	0.010230516650784062	0.9973685482195659	-0.0013979713838236242	0.0
n231_g0	uniform	miss_le_50	indel	472594	0.00689272423778825	0.010207693689419508	0.9968020142146498	-0.0014496822762364741	0.0
n231_g0	uniform	miss_le_50	SV	35939	0.004409281186780379	0.006789430272404555	0.996485918371925	-0.0006799521690058154	0.0
n231_g0	inv_mb	full	ALL	1955156	0.009239591796810023	0.015226251082038565	0.9942994038559779	-0.0020491427613881967	0.0014617759401295855
n231_g0	inv_mb	full	SNP	1436451	0.009332964620184047	0.015335995084272013	0.9945598952158473	-0.0020547018532749103	0.0014737711206299414
n231_g0	inv_mb	full	indel	481741	0.00919051639909578	0.015087403508389087	0.9933923785111832	-0.0021242902230414265	0.001328514699807573
n231_g0	inv_mb	full	SV	36964	0.006250633503925441	0.012504120628356586	0.9902390485232109	-0.0008537370578914619	0.0027323882696677847
n231_g0	inv_mb	miss_le_90	ALL	1946419	0.008972174959919678	0.013379329105977661	0.9954380138727621	-0.0020292400714978123	6.011038733181294e-05
n231_g0	inv_mb	miss_le_90	SNP	1429696	0.009067297689472448	0.013507904876264175	0.9956206952036236	-0.0020279395351197734	6.854604055687363e-05
n231_g0	inv_mb	miss_le_90	indel	479958	0.00893133877892399	0.013274184987310856	0.99473432899655	-0.002114956757933403	3.75032815371345e-05
n231_g0	inv_mb	miss_le_90	SV	36765	0.005806203677658099	0.009008675935832978	0.9943411931911411	-0.0009608043927077383	2.7199782401740785e-05
n231_g0	inv_mb	miss_le_50	ALL	1904711	0.008777952513585995	0.012957555039596275	0.9955335834173118	-0.0020251694127779492	0.0
n231_g0	inv_mb	miss_le_50	SNP	1396178	0.008855399762641662	0.013047839374182926	0.9957196676989345	-0.0020246609248420326	0.0
n231_g0	inv_mb	miss_le_50	indel	472594	0.008790272491107169	0.01296761939851305	0.9948389058555602	-0.002106868148253469	0.0
n231_g0	inv_mb	miss_le_50	SV	35939	0.005607232884529341	0.008558939101578346	0.9944154902550785	-0.0009705938117894209	0.0
n50_g1	uniform	full	ALL	1951768	0.012896463571928623	0.021864674393642747	0.9892888554395863	-0.0012294519298605175	0.002415758430305241
n50_g1	uniform	full	SNP	1433828	0.012990422276500387	0.02195457151062318	0.9897985752963548	-0.0012692113290659695	0.0024493872347310834
n50_g1	uniform	full	indel	481068	0.012979048526281109	0.02195972563800023	0.9874453297749686	-0.0011693306551485462	0.002421695061820782
n50_g1	uniform	full	SV	36872	0.008165242041250813	0.016447882136533185	0.9846565181639445	-0.00046774335802234816	0.0010305923193751356
n50_g1	uniform	miss_le_90	ALL	1946419	0.012846685244171985	0.02160277910226527	0.9893000553993456	-0.0012222639335415458	0.0022009649515340735
n50_g1	uniform	miss_le_90	SNP	1429696	0.012934591247419039	0.02165449290913397	0.9898358150423506	-0.0012574081868397212	0.002201866690541206
n50_g1	uniform	miss_le_90	indel	479958	0.012948267960198599	0.021807792921249364	0.9873831588396803	-0.001174314298023995	0.002296034236329012
n50_g1	uniform	miss_le_90	SV	36765	0.008102110283285733	0.016232828230511073	0.9841850119522155	-0.0004815652473004221	0.0009247926016591867
n50_g1	uniform	miss_le_50	ALL	1904711	0.012626903317673922	0.02105639784630071	0.9893339683636281	-0.0012032321703712538	0.001680569913230931
n50_g1	uniform	miss_le_50	SNP	1396178	0.012702370732168828	0.021093288270098185	0.9898428371655331	-0.0012342639000184803	0.0016717066162050972
n50_g1	uniform	miss_le_50	indel	472594	0.012773874012194394	0.021345921568713372	0.987530716792956	-0.0011689545760991476	0.0018112798723640164
n50_g1	uniform	miss_le_50	SV	35939	0.007762454884470907	0.014883922562893299	0.9851405358499515	-0.00044844119544227776	0.00030607418125156517
n50_g1	inv_mb	full	ALL	1951768	0.014329749041572557	0.02397453086569324	0.9871219505778043	-0.0018900895722442413	0.003940017461091687
n50_g1	inv_mb	full	SNP	1433828	0.014441376265274496	0.024095738772917694	0.9877117117489422	-0.0019457659716032884	0.004008151605352944
