block,chrom,mid_pos,SNPs,Z,Z_pVal,top_candidate_p,dir,n_up,n_dn,gene,gene_name,flower_locus
2_729,Chr2,6685325.0,918,8.855514039844044,7.771561172376097e-16,9.773307661570238e-28,up-in-warm,458,460,AT2G15325,AT2G15325,
5_918,Chr5,13176529.0,857,10.740756708319006,8.160139230994899e-14,6.52470859419938e-102,up-in-warm,462,395,AT5G34869,AT5G34869,
3_589,Chr3,6379685.0,101,10.173909981765348,7.38040968140119e-06,1.5199718124625621e-24,up-in-warm,58,43,AT3G18520,AT3G18520,
1_211,Chr1,1590273.0,22,7.090417815157644,1.1723101332017372e-05,1.4950000972233536e-09,up-in-warm,18,4,AT1G05420,AT1G05420,
2_195,Chr2,602461.5,72,8.957651608355128,1.3936729534980152e-05,1.725280666895401e-10,down-in-warm,12,60,AT2G02290,AT2G02290,
5_602,Chr5,7557565.0,553,11.913464900474017,5.451219929009099e-05,1.5091556710646827e-73,up-in-warm,311,242,AT5G22555,AT5G22555,
2_1198,Chr2,10873481.0,8,5.794562508678996,0.000111666182465,6.778784035000024e-07,down-in-warm,1,7,AT2G25540,AT2G25540,
4_2519,Chr4,12152602.0,137,10.04271570783293,0.000139821466899,3.957670528690201e-28,down-in-warm,59,78,AT4G23220,AT4G23220,
4_2781,Chr4,15468585.5,22,6.254372088313126,0.0001498071941944,2.2848314242291675e-06,up-in-warm,14,8,AT4G31980,AT4G31980,
3_3018,Chr3,19740321.0,3,5.41797547497182,0.0001861298505626,1.0000000000000027e-06,up-in-warm,3,0,AT3G53240,AT3G53240,
2_591,Chr2,3026435.0,642,8.6644582734367,0.0002255596421509,2.2336642705885984e-26,up-in-warm,325,317,,,
5_2560,Chr5,22192366.0,2,5.218359737434169,0.0002954669612083,0.0001,up-in-warm,2,0,AT5G54630,AT5G54630,
3_1328,Chr3,10713087.0,9,5.497341888578086,0.00029788392644,8.029476538112821e-05,down-in-warm,3,6,AT3G28570,AT3G28570,
3_2941,Chr3,19053286.0,11,5.564977392085657,0.0003079255341742,4.39389263361612e-08,down-in-warm,4,7,AT3G51330,AT3G51330,
2_296,Chr2,835185.0,7,5.3621646089366095,0.0003478879633815,3.416698000000012e-07,up-in-warm,5,2,,,
4_866,Chr4,7641047.0,9,5.421171351138862,0.0003683757756185,1.2104328314440042e-06,up-in-warm,8,1,AT4G13110,AT4G13110,
3_2640,Chr3,17712962.0,2,5.134890700775591,0.000374692191394,0.0001,up-in-warm,2,0,AT3G47980,AT3G47980,
5_775,Chr5,9181108.0,740,4.546040547897631,0.0004826782658921,2.6480177315620576e-44,up-in-warm,387,353,AT5G26160,AT5G26160,
5_1096,Chr5,15320037.0,8,5.093353680079651,0.0008012182863826,5.393332119790015e-05,down-in-warm,1,7,AT5G38320,AT5G38320,
1_214,Chr1,1598199.0,3,4.846413805577646,0.0009167999324168,0.000298,down-in-warm,0,3,AT1G05440,AT1G05440,
1_2535,Chr1,18747465.0,6,4.960495396905502,0.0009248678805596,1.955359000000005e-05,down-in-warm,2,4,AT1G50620,AT1G50620,
1_3507,Chr1,22592596.0,5,4.886645086063562,0.0010125654213005,0.0009801496,up-in-warm,4,1,AT1G61260,AT1G61260,
5_126,Chr5,817743.0,74,7.180395411014192,0.0013518391414568,5.929051346210576e-13,up-in-warm,38,36,AT5G03350,AT5G03350,
1_1800,Chr1,11388259.0,5,4.747544249324593,0.001444383989793,9.850600000000027e-06,up-in-warm,5,0,,,
1_4136,Chr1,24105378.0,10,4.930961396866618,0.0014734981887288,0.0042662002428314,up-in-warm,4,6,AT1G64870,AT1G64870,
1_4068,Chr1,24010526.0,3,4.65665221130352,0.0014946383956754,0.000298,down-in-warm,1,2,AT1G64620,AT1G64620,
1_3879,Chr1,23448013.0,3,4.572917200831154,0.0018425637391156,0.000298,up-in-warm,3,0,AT1G63210,AT1G63210,
1_923,Chr1,7670864.0,2,4.502840659674069,0.0019920647566272,0.0199,up-in-warm,2,0,AT1G21850,AT1G21850,
3_621,Chr3,6776661.0,6,4.651431508650193,0.0020143961112811,1.955359000000005e-05,down-in-warm,2,4,AT3G19520,AT3G19520,
1_4665,Chr1,26150304.0,71,6.892074428589352,0.0020304107364409,4.258665770045131e-08,down-in-warm,34,37,AT1G69550,AT1G69550,
1_1219,Chr1,8884787.0,5,4.54737966147021,0.0023633736951524,9.850600000000027e-06,up-in-warm,5,0,AT1G25340,AT1G25340,
1_2174,Chr1,16156443.0,4,4.497119554133492,0.0024340422297843,0.00059203,down-in-warm,0,4,AT1G43020,AT1G43020,
1_2265,Chr1,16874531.0,9,4.653672756844332,0.0026271251759605,1.0,down-in-warm,3,6,AT1G44575,AT1G44575,
5_1526,Chr5,16643778.0,10,4.6440087994530215,0.0029317999843325,2.001276156940847e-06,up-in-warm,9,1,AT5G41610,AT5G41610,
5_535,Chr5,6679393.0,48,5.968612837462723,0.0029916548245285,1.3922220998833342e-15,down-in-warm,23,25,AT5G19590,AT5G19590,
2_1090,Chr2,10273950.0,9,4.538991597545619,0.0034288124145601,0.0034357300178462,up-in-warm,7,2,AT2G24170,AT2G24170,
5_891,Chr5,10645429.0,611,7.22319040638574,0.003799506638007,3.781885373233092e-39,up-in-warm,292,319,AT5G28642,AT5G28642,
1_704,Chr1,6182965.0,3,4.227132126720353,0.0041959729201597,0.029701,up-in-warm,3,0,AT1G17960,AT1G17960,
1_1122,Chr1,8361506.0,34,5.325841388247082,0.0042929714459648,2.184798788405562e-05,down-in-warm,16,18,AT1G23590,AT1G23590,
1_277,Chr1,2695944.0,2,4.173683622690324,0.0043516830468839,0.0199,up-in-warm,2,0,AT1G08510,AT1G08510,
4_225,Chr4,2119044.0,1,4.123923814094818,0.004474599627678,0.01,up-in-warm,1,0,AT4G04330,AT4G04330,
1_240,Chr1,2322071.0,53,5.89435691696123,0.0048335424490922,0.0019819916499195,down-in-warm,19,34,AT1G07540,AT1G07540,
2_1001,Chr2,9969156.0,9,4.368632831505948,0.0050273911255074,8.029476538112821e-05,up-in-warm,7,2,AT2G23410,AT2G23410,
1_3709,Chr1,22959909.0,7,4.273633056894224,0.005273317383414,3.396253015000008e-05,up-in-warm,4,3,AT1G62110,AT1G62110,
1_3775,Chr1,23159344.0,5,4.187261949588735,0.005423526491344,0.0009801496,up-in-warm,4,1,AT1G62560,AT1G62560,
2_777,Chr2,7071685.0,12,4.439578009527788,0.0054636215478407,0.0002056160777666,down-in-warm,3,9,AT2G16340,AT2G16340,
1_187,Chr1,1306398.0,2,4.064075528950885,0.005570108269903,0.0199,up-in-warm,2,0,AT1G04680,AT1G04680,
2_968,Chr2,9540355.5,8,4.28069465894352,0.0056263429463259,5.393332119790015e-05,up-in-warm,5,3,AT2G22470,AT2G22470,
1_1954,Chr1,11952779.0,1,4.010463189806894,0.0057765968178506,0.01,up-in-warm,1,0,AT1G32970,AT1G32970,
2_1325,Chr2,12343979.0,2,4.046050473743335,0.0057971937109285,0.0001,up-in-warm,2,0,AT2G28780,AT2G28780,
5_573,Chr5,7386458.5,2,4.044430072253381,0.0058180050194468,0.0001,up-in-warm,2,0,AT5G22310,AT5G22310,
5_774,Chr5,9088522.0,18,4.624086827788299,0.0058275075541591,4.002217050783774e-12,up-in-warm,15,3,AT5G26030,AT5G26030,
1_2393,Chr1,17360325.0,30,5.0391934363049256,0.0058539046694228,1.6637423182915264e-08,down-in-warm,10,20,AT1G47350,AT1G47350,
1_1958,Chr1,11955276.0,1,3.9941503648785615,0.0059891335765071,0.01,up-in-warm,1,0,AT1G32975,AT1G32975,
4_1680,Chr4,9444712.0,5,4.112907689389153,0.0063819158925014,0.0009801496,down-in-warm,3,2,,,
4_1770,Chr4,9668905.0,6,4.1448352298001545,0.0064471261635499,0.001460447605,up-in-warm,6,0,AT4G17240,AT4G17240,
5_1098,Chr5,15321989.0,1,3.9536968668135226,0.0065463832182868,0.01,up-in-warm,1,0,AT5G38340,AT5G38340,
3_2878,Chr3,18896139.0,9,4.242786094607238,0.0066042403791979,0.0034357300178462,down-in-warm,5,4,AT3G50830,AT3G50830,
1_1430,Chr1,9475975.0,3,4.013998153196536,0.0067431810544581,0.000298,up-in-warm,1,2,AT1G27280,AT1G27280,
3_2733,Chr3,18479716.0,2,3.96699769300787,0.006893029927539,0.0199,up-in-warm,1,1,AT3G49820,AT3G49820,
4_459,Chr4,5664439.0,376,10.27624323992386,0.0071167086634909,3.8161622561838516e-38,up-in-warm,176,200,AT4G08870,AT4G08870,
4_701,Chr4,6810422.0,112,7.357231810166159,0.007161877286314,2.175252173354243e-06,up-in-warm,53,59,AT4G11170,AT4G11170,
1_5114,Chr1,29133516.0,5,4.049470148006734,0.0073150653804161,0.0009801496,up-in-warm,5,0,AT1G77520,AT1G77520,
3_2116,Chr3,16738987.0,9,4.191517677008679,0.0073628938587688,0.0034357300178462,up-in-warm,5,4,AT3G45610,AT3G45610,
4_63,Chr4,461069.0,1,3.8963429792411977,0.0074149181332847,0.01,up-in-warm,1,0,AT4G01060,AT4G01060,
3_1428,Chr3,11275936.0,25,4.7488809951508735,0.0074521935082946,4.104446291757019e-09,up-in-warm,15,10,AT3G29370,AT3G29370,
5_2302,Chr5,20181951.0,1,3.891691811425011,0.0074896140082796,0.01,up-in-warm,1,0,AT5G49680,AT5G49680,
5_2915,Chr5,24056170.0,1,3.891691811425011,0.0074896140082796,0.01,up-in-warm,1,0,AT5G59700,AT5G59700,
3_554,Chr3,5888134.0,58,5.816964785588511,0.0075506237657938,0.0205137722202766,down-in-warm,30,28,AT3G17265,AT3G17265,
1_45,Chr1,264476.0,32,4.979750739484958,0.00755431071962,0.0002874736447956,up-in-warm,16,16,AT1G01790,AT1G01790,
2_779,Chr2,7079554.0,103,7.092694228897024,0.0075837355960224,9.87531099077816e-15,down-in-warm,51,52,AT2G16365,AT2G16365,
5_442,Chr5,4870134.0,1,3.884779980763281,0.0076018396563689,0.01,up-in-warm,1,0,AT5G15030,AT5G15030,
2_547,Chr2,2293078.5,12,4.283814052620896,0.0076033522812922,0.0002056160777666,up-in-warm,8,4,,,
5_503,Chr5,6067855.0,8,4.136516133085616,0.0076620302133668,0.0026900777395207,down-in-warm,5,3,AT5G18320,AT5G18320,
1_4673,Chr1,26155819.0,22,4.628689866686007,0.0077082581222608,0.0013356291937811,up-in-warm,12,10,,,
1_4997,Chr1,27796006.5,4,3.98641525620198,0.0077405670110302,0.00059203,up-in-warm,1,3,AT1G73920,AT1G73920,
1_2452,Chr1,17916329.0,2,3.90885192321422,0.0078120294440717,0.0199,up-in-warm,2,0,AT1G48470,AT1G48470,
5_1720,Chr5,17347022.0,7,4.063659559064073,0.008275738264371,0.00203104163494,down-in-warm,2,5,AT5G43200,AT5G43200,
5_2474,Chr5,21796963.0,1,3.8440854930987984,0.0082930921965177,0.01,up-in-warm,1,0,AT5G53660,AT5G53660,
