cat	vtype	n	n_singleton	frac_singleton
V1a	DEL<50	85111	63213	0.7427124578491617
V1a	DEL>=50	91	62	0.6813186813186813
V1a	INS<50	59774	43321	0.724746545320708
V1a	INS>=50	4466	3871	0.8667711598746082
V1a	MNP/other	26959	19364	0.718275900441411
V1a	SNP	1176134	874878	0.7438591180936867
V1b	DEL<50	210765	166723	0.791037411334899
V1b	DEL>=50	50607	44099	0.8714011895587567
V1b	INS<50	206862	164149	0.7935193510649612
V1b	INS>=50	108041	96672	0.8947714293647782
V1b	MNP/other	616574	471701	0.7650355026322875
V1b	SNP	87002	65609	0.7541091009402082
