ind_id	chrom	start	end	founder
ind001	Chr1	1	30427671	5784
ind002	Chr1	1	30427671	7063
ind003	Chr1	1	30427671	8249
ind004	Chr1	1	30427671	8214
ind005	Chr1	1	30427671	9879
ind006	Chr1	1	30427671	763
ind007	Chr1	1	30427671	7025
ind008	Chr1	1	30427671	9637
ind009	Chr1	1	30427671	9542
ind010	Chr1	1	30427671	7372
ind011	Chr1	1	30427671	9555
ind012	Chr1	1	30427671	7316
ind013	Chr1	1	30427671	7275
ind014	Chr1	1	30427671	9470
ind015	Chr1	1	30427671	9537
ind016	Chr1	1	30427671	7000
ind017	Chr1	1	30427671	9758
ind018	Chr1	1	30427671	765
ind019	Chr1	1	30427671	768
ind020	Chr1	1	30427671	9759
ind021	Chr1	1	30427671	6945
ind022	Chr1	1	30427671	7288
ind023	Chr1	1	30427671	7323
ind024	Chr1	1	30427671	7255
ind025	Chr1	1	30427671	8387
ind026	Chr1	1	30427671	7347
ind027	Chr1	1	30427671	8351
ind028	Chr1	1	30427671	772
ind029	Chr1	1	30427671	9416
ind030	Chr1	1	30427671	7164
ind031	Chr1	1	30427671	7298
ind032	Chr1	1	30427671	7003
ind033	Chr1	1	30427671	6184
ind034	Chr1	1	30427671	9564
ind035	Chr1	1	30427671	9594
ind036	Chr1	1	30427671	10006
ind037	Chr1	1	30427671	6939
ind038	Chr1	1	30427671	9549
ind039	Chr1	1	30427671	6911
ind040	Chr1	1	30427671	159
ind041	Chr1	1	30427671	6938
ind042	Chr1	1	30427671	6915
ind043	Chr1	1	30427671	766
ind044	Chr1	1	30427671	9940
ind045	Chr1	1	30427671	6898
ind046	Chr1	1	30427671	9837
ind047	Chr1	1	30427671	7217
ind048	Chr1	1	30427671	6932
ind049	Chr1	1	30427671	9518
ind050	Chr1	1	30427671	6929
