block,chrom,Z_pVal,dir,gene
1_4566,Chr1,3e-05,up-in-warm,AT1G68130
1_4566,Chr1,3e-05,up-in-warm,AT1G68140
1_4566,Chr1,3e-05,up-in-warm,AT1G68150
1_4566,Chr1,3e-05,up-in-warm,AT1G68160
1_4566,Chr1,3e-05,up-in-warm,AT1G68170
1_4566,Chr1,3e-05,up-in-warm,AT1G68180
1_4566,Chr1,3e-05,up-in-warm,AT1G68185
1_4566,Chr1,3e-05,up-in-warm,AT1G68190
1_4566,Chr1,3e-05,up-in-warm,AT1G68200
1_4566,Chr1,3e-05,up-in-warm,AT1G68210
1_4566,Chr1,3e-05,up-in-warm,AT1G68220
1_4566,Chr1,3e-05,up-in-warm,AT1G68230
1_4566,Chr1,3e-05,up-in-warm,AT1G68238
1_4566,Chr1,3e-05,up-in-warm,AT1G68240
1_4566,Chr1,3e-05,up-in-warm,AT1G68250
1_4566,Chr1,3e-05,up-in-warm,AT1G68260
1_4566,Chr1,3e-05,up-in-warm,AT1G68270
1_4566,Chr1,3e-05,up-in-warm,AT1G68280
1_4566,Chr1,3e-05,up-in-warm,AT1G68290
1_4566,Chr1,3e-05,up-in-warm,AT1G68300
1_4566,Chr1,3e-05,up-in-warm,AT1G68310
1_4566,Chr1,3e-05,up-in-warm,AT1G68320
1_4566,Chr1,3e-05,up-in-warm,AT1G68330
1_4566,Chr1,3e-05,up-in-warm,AT1G68340
1_4566,Chr1,3e-05,up-in-warm,AT1G68350
1_4566,Chr1,3e-05,up-in-warm,AT1G68360
1_4566,Chr1,3e-05,up-in-warm,AT1G68370
1_4566,Chr1,3e-05,up-in-warm,AT1G68380
1_4566,Chr1,3e-05,up-in-warm,AT1G68390
1_4566,Chr1,3e-05,up-in-warm,AT1G68400
1_4566,Chr1,3e-05,up-in-warm,AT1G68410
1_2192,Chr1,0.00052,down-in-warm,AT1G43770
1_2192,Chr1,0.00052,down-in-warm,AT1G43780
1_2192,Chr1,0.00052,down-in-warm,AT1G43790
1_2192,Chr1,0.00052,down-in-warm,AT1G43800
1_2192,Chr1,0.00052,down-in-warm,AT1G43810
2_1218,Chr2,0.0012,up-in-warm,AT2G25690
2_1218,Chr2,0.0012,up-in-warm,AT2G25697
2_1218,Chr2,0.0012,up-in-warm,AT2G25700
2_1218,Chr2,0.0012,up-in-warm,AT2G25710
2_1218,Chr2,0.0012,up-in-warm,AT2G25720
2_1218,Chr2,0.0012,up-in-warm,AT2G25730
2_1218,Chr2,0.0012,up-in-warm,AT2G25735
2_1218,Chr2,0.0012,up-in-warm,AT2G25737
2_1218,Chr2,0.0012,up-in-warm,AT2G25740
2_1218,Chr2,0.0012,up-in-warm,AT2G25760
4_3052,Chr4,0.00158,down-in-warm,AT4G39610
4_3052,Chr4,0.00158,down-in-warm,AT4G39620
4_3052,Chr4,0.00158,down-in-warm,AT4G39630
4_3052,Chr4,0.00158,down-in-warm,AT4G39640
4_3052,Chr4,0.00158,down-in-warm,AT4G39650
4_3052,Chr4,0.00158,down-in-warm,AT4G39660
4_3052,Chr4,0.00158,down-in-warm,AT4G39670
4_3052,Chr4,0.00158,down-in-warm,AT4G39675
4_3052,Chr4,0.00158,down-in-warm,AT4G39680
4_3052,Chr4,0.00158,down-in-warm,AT4G39690
